ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,1,1
55,0,0,1,1
100,0,0,1,1
109,0,0,1,1
118,0,0,1,1
131,0,0,1,1
138,0,0,1,1
145,0,0,1,1
154,0,0,1,1
159,0,0,1,1
167,0,0,1,1
174,0,0,1,1
183,0,0,1,1
190,0,0,1,1
197,0,0,1,1
204,0,0,1,1
210,0,0,1,1
218,0,0,1,1
225,0,0,1,1
234,0,0,1,1
240,0,0,1,1
248,0,0,1,1
256,0,0,1,1
265,0,0,1,1
274,0,0,1,1
281,0,0,1,1
288,0,0,1,1
295,0,0,1,1
303,0,0,1,1
309,0,0,1,1
316,0,0,1,1
323,0,0,1,1
333,0,0,1,1
340,0,0,1,1
348,0,0,1,1
356,0,0,1,1
366,0,0,1,1
373,0,0,1,1
380,0,0,1,1
390,0,0,1,1
397,0,0,1,1
406,0,0,1,1
414,0,0,1,1
421,0,0,1,1
429,0,0,1,1
436,0,0,1,1
442,0,0,1,1
451,0,0,1,1
457,0,0,1,1
465,0,0,1,1
472,0,0,1,1
479,0,0,1,1
488,0,0,1,1
495,0,0,1,1
503,0,0,1,1
510,0,0,1,1
518,0,0,1,1
526,0,0,1,1
534,0,0,1,1
541,0,0,1,1
550,0,0,1,1
556,0,0,1,1
564,0,0,1,1
572,0,0,1,1
580,0,0,1,1
588,0,0,1,1
595,0,0,1,1
603,0,0,1,1
613,0,0,1,1
621,0,0,1,1
627,0,0,1,1
635,0,0,1,1
642,0,0,1,1
651,0,0,1,1
657,0,0,1,1
665,0,0,1,1
672,0,0,1,1
679,0,0,1,1
688,0,0,1,1
694,0,0,1,1
701,0,0,1,1
708,0,0,1,1
715,0,0,1,1
722,0,0,1,1
730,0,0,1,1
736,0,0,1,1
743,0,0,1,1
751,0,0,1,1
757,0,0,1,1
764,0,0,1,1
772,0,0,1,1
780,0,0,1,1
788,0,0,1,1
794,0,0,1,1
801,0,0,1,1
809,0,0,1,1
817,0,0,1,1
823,0,0,1,1
831,0,0,1,1
840,0,0,1,1
847,0,0,1,1
855,0,0,1,1
863,0,0,1,1
871,0,0,1,1
878,0,0,1,1
886,0,0,1,1
892,0,0,1,1
900,0,0,1,1
909,0,0,1,1
917,0,0,1,1
924,0,0,1,1
932,0,0,1,1
939,0,0,1,1
948,0,0,1,1
956,0,0,1,1
963,0,0,1,1
971,0,0,1,1
979,0,0,1,1
986,0,0,1,1
994,0,0,1,1
1003,0,0,1,1
1013,0,0,1,1
1021,0,0,1,1
1028,0,0,1,1
1036,0,0,1,1
1042,0,0,1,1
1051,0,0,1,1
1058,0,0,1,1
1066,0,0,1,1
1077,0,0,1,1
1088,0,0,1,1
1095,0,0,1,1
1102,0,0,1,1
1110,0,0,1,1
1117,0,0,1,1
1124,0,0,1,1
1132,0,0,1,1
1139,0,0,1,1
1147,0,0,1,1
1154,0,0,1,1
1161,0,0,1,1
1169,0,0,1,1
1176,0,0,1,1
1183,0,0,1,1
1190,0,0,1,1
1197,0,0,1,1
1204,0,0,1,1
1212,0,0,1,1
1219,0,0,1,1
1226,0,0,1,1
1234,0,0,1,1
1241,0,0,1,1
1248,0,0,1,1
1256,0,0,1,1
1263,0,0,1,1
1271,0,0,1,1
1278,0,0,1,1
1285,0,0,1,1
1292,0,0,1,1
1299,0,0,1,1
1307,0,0,1,1
1315,0,0,1,1
1322,0,0,1,1
1331,0,0,1,1
1337,0,0,1,1
1345,0,0,1,1
1352,0,0,1,1
1359,0,0,1,1
1367,0,0,1,1
1374,0,0,1,1
1382,0,0,1,1
1390,0,0,1,1
1397,0,0,1,1
1406,0,0,1,1
1414,0,0,1,1
1422,0,0,1,1
1431,0,0,1,1
1439,0,0,1,1
1447,0,0,1,1
1454,0,0,1,1
1462,0,0,1,1
1470,0,0,1,1
1476,0,0,1,1
1484,0,0,1,1
1491,0,0,1,1
1500,0,0,1,1
1507,0,0,1,1
1514,0,0,1,1
1521,0,0,1,1
1529,0,0,1,1
1537,0,0,1,1
1544,0,0,1,1
1551,0,0,1,1
1558,0,0,1,1
1567,0,0,1,1
1575,0,0,1,1
1583,0,0,1,1
1590,0,0,1,1
1597,0,0,1,1
1605,0,0,1,1
1613,0,0,1,1
1622,0,0,1,1
1630,0,0,1,1
1638,0,0,1,1
1646,0,0,1,1
1655,0,0,1,1
1663,0,0,1,1
1670,0,0,1,1
1678,0,0,1,1
1686,0,0,1,1
1692,0,0,1,1
1700,0,0,1,1
1707,0,0,1,1
1714,0,0,1,1
1721,0,0,1,1
1729,0,0,1,1
1736,0,0,1,1
1742,0,0,1,1
1751,0,0,1,1
1759,0,0,1,1
1767,0,0,1,1
1774,0,0,1,1
1781,0,0,1,1
1791,0,0,1,1
1798,0,0,1,1
1805,0,0,1,1
1812,0,0,1,1
1820,0,0,1,1
1828,0,0,1,1
1836,0,0,1,1
1843,0,0,1,1
1851,0,0,1,1
1858,0,0,1,1
1865,0,0,1,1
1873,0,0,1,1
1880,0,0,1,1
1887,0,0,1,1
1895,0,0,1,1
1902,0,0,1,1
1909,0,0,1,1
1916,0,0,1,1
1923,0,0,1,1
1931,0,0,1,1
1938,0,0,1,1
1946,0,0,1,1
1950,0,0,1,1
1957,0,0,1,1
1966,0,0,1,1
1974,0,0,1,1
1982,0,0,1,1
1989,0,0,1,1
1997,0,0,1,1
2004,0,0,1,1
2012,0,0,1,1
2019,0,0,1,1
2026,0,0,1,1
2033,0,0,1,1
2039,0,0,1,1
2048,0,0,1,1
2055,0,0,1,1
2063,0,0,1,1
2070,0,0,1,1
2077,0,0,1,1
2084,0,0,1,1
2092,0,0,1,1
2099,0,0,1,1
2107,0,0,1,1
2114,0,0,1,1
2121,0,0,1,1
2130,0,0,1,1
2137,0,0,1,1
2144,0,0,1,1
2152,0,0,1,1
2159,0,0,1,1
2167,0,0,1,1
