ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
0,0,0,3,1
13,0,0,3,1
18,0,0,3,1
23,0,0,3,1
29,0,0,3,1
33,0,0,3,1
38,0,0,3,1
44,0,0,3,1
49,0,0,3,1
54,0,0,3,1
59,0,0,3,1
65,0,0,3,1
71,0,0,3,1
80,0,0,3,1
85,0,0,3,1
89,0,0,3,1
96,0,0,3,1
100,0,0,3,1
105,0,0,3,1
110,0,0,3,1
116,0,0,3,1
120,0,0,3,1
125,0,0,3,1
131,0,0,3,1
136,0,0,3,1
140,0,0,3,1
147,0,0,3,1
151,0,0,3,1
156,0,0,3,1
162,0,0,3,1
167,0,0,3,1
171,0,0,3,1
206,0,0,3,1
212,0,0,3,1
216,0,0,3,1
221,0,0,3,1
228,0,0,3,1
232,0,0,3,1
237,0,0,3,1
244,0,0,3,1
249,0,0,3,1
253,0,0,3,1
258,0,0,3,1
264,0,0,3,1
269,0,0,3,1
273,0,0,3,1
279,0,0,3,1
284,0,0,3,1
288,0,0,3,1
294,0,0,3,1
328,0,0,3,1
333,0,0,3,1
338,0,0,3,1
344,0,0,3,1
349,0,0,3,1
353,0,0,3,1
358,0,0,3,1
364,0,0,3,1
369,0,0,3,1
373,0,0,3,1
378,0,0,3,1
383,0,0,3,1
387,0,0,3,1
392,0,0,3,1
398,0,0,3,1
418,0,0,3,1
424,0,0,3,1
430,0,0,3,1
436,0,0,3,1
443,0,0,3,1
448,0,0,3,1
454,0,0,3,1
459,0,0,3,1
466,0,0,3,1
471,0,0,3,1
477,0,0,3,1
483,0,0,3,1
489,0,0,3,1
495,0,0,3,1
500,0,0,3,1
506,0,0,3,1
512,0,0,3,1
518,0,0,3,1
525,0,0,3,1
533,0,0,3,1
539,0,0,3,1
546,0,0,3,1
552,0,0,3,1
558,0,0,3,1
565,0,0,3,1
571,0,0,3,1
577,0,0,3,1
583,0,0,3,1
588,0,0,3,1
596,0,0,3,1
601,0,0,3,1
607,0,0,3,1
615,0,0,3,1
620,0,0,3,1
626,0,0,3,1
632,0,0,3,1
637,0,0,3,1
644,0,0,3,1
650,0,0,3,1
655,0,0,3,1
663,0,0,3,1
668,0,0,3,1
674,0,0,3,1
680,0,0,3,1
686,0,0,3,1
691,0,0,3,1
698,0,0,3,1
704,0,0,3,1
710,0,0,3,1
715,0,0,3,1
721,0,0,3,1
727,0,0,3,1
732,0,0,3,1
739,0,0,3,1
746,0,0,3,1
751,0,0,3,1
757,0,0,3,1
764,0,0,3,1
769,0,0,3,1
775,0,0,3,1
781,0,0,3,1
787,0,0,3,1
793,0,0,3,1
802,0,0,3,1
808,0,0,3,1
814,0,0,3,1
820,0,0,3,1
826,0,0,3,1
832,0,0,3,1
838,0,0,3,1
844,0,0,3,1
850,0,0,3,1
855,0,0,3,1
862,0,0,3,1
868,0,0,3,1
873,0,0,3,1
880,0,0,3,1
886,0,0,3,1
891,0,0,3,1
897,0,0,3,1
903,0,0,3,1
909,0,0,3,1
916,0,0,3,1
921,0,0,3,1
929,0,0,3,1
934,0,0,3,1
940,0,0,3,1
947,0,0,3,1
953,0,0,3,1
958,0,0,3,1
965,0,0,3,1
971,0,0,3,1
977,0,0,3,1
984,0,0,3,1
990,0,0,3,1
996,0,0,3,1
1003,0,0,3,1
1008,0,0,3,1
1015,0,0,3,1
1021,0,0,3,1
1027,0,0,3,1
1033,0,0,3,1
1039,0,0,3,1
1045,0,0,3,1
1051,0,0,3,1
1056,0,0,3,1
1063,0,0,3,1
1069,0,0,3,1
1075,0,0,3,1
1082,0,0,3,1
1088,0,0,3,1
1094,0,0,3,1
1100,0,0,3,1
1106,0,0,3,1
1113,0,0,3,1
1119,0,0,3,1
1124,0,0,3,1
1131,0,0,3,1
1137,0,0,3,1
1143,0,0,3,1
1149,0,0,3,1
1154,0,0,3,1
1161,0,0,3,1
1167,0,0,3,1
1172,0,0,3,1
1178,0,0,3,1
1185,0,0,3,1
1190,0,0,3,1
1197,0,0,3,1
1203,1,0,3,1
1209,1,0,3,1
1216,1,0,3,1
1222,1,0,3,1
1230,1,0,3,1
1235,1,0,3,1
1241,1,0,3,1
1248,1,0,3,1
1253,1,0,3,1
1260,1,0,3,1
1266,1,0,3,1
1271,1,0,3,1
1277,1,0,3,1
1284,1,0,3,1
1291,1,0,3,1
1297,1,0,3,1
1303,1,0,3,1
1309,1,0,3,1
1316,1,0,3,1
1322,1,0,3,1
1329,1,0,3,1
1335,1,0,3,1
1341,1,0,3,1
1348,1,0,3,1
1353,1,0,3,1
1360,1,0,3,1
1366,1,0,3,1
1371,1,0,3,1
1378,1,0,3,1
1386,1,0,3,1
1391,1,0,3,1
1398,1,0,3,1
1404,1,0,3,1
1411,1,0,3,1
1416,1,0,3,1
1422,1,0,3,1
1428,1,0,3,1
1434,1,0,3,1
1439,1,0,3,1
1446,1,0,3,1
1451,1,0,3,1
1457,1,0,3,1
1464,1,0,3,1
1469,1,0,3,1
1475,1,0,3,1
1482,1,0,3,1
1487,1,0,3,1
1497,1,0,3,1
1503,1,0,3,1
1508,1,0,3,1
1515,1,0,3,1
1521,1,0,3,1
1528,1,0,3,1
1534,1,0,3,1
1540,1,0,3,1
1547,1,0,3,1
1553,1,0,3,1
1558,1,0,3,1
1564,1,0,3,1
1570,1,0,3,1
1576,1,0,3,1
1583,1,0,3,1
1588,1,0,3,1
1595,1,0,3,1
1601,1,0,3,1
1607,1,0,3,1
1613,1,0,3,1
1619,1,0,3,1
1625,1,0,3,1
1631,1,0,3,1
1636,1,0,3,1
1641,1,0,3,1
1648,1,0,3,1
1653,1,0,3,1
1659,1,0,3,1
1665,1,0,3,1
1671,1,0,3,1
1678,1,0,3,1
1684,1,0,3,1
1689,1,0,3,1
1698,1,0,3,1
1704,1,0,3,1
1710,1,0,3,1
1716,1,0,3,1
1721,1,0,3,1
1728,1,0,3,1
1734,1,0,3,1
1739,1,0,3,1
1746,1,0,3,1
1751,1,0,3,1
1757,1,0,3,1
1764,1,0,3,1
1770,1,0,3,1
1776,1,0,3,1
1782,1,0,3,1
1788,1,0,3,1
1794,1,0,3,1
1800,1,0,3,1
1806,1,0,3,1
1812,1,0,3,1
1817,1,0,3,1
1824,1,0,3,1
1830,1,0,3,1
1836,1,0,3,1
1841,1,0,3,1
1848,1,0,3,1
1853,1,0,3,1
1860,1,0,3,1
1865,1,0,3,1
1871,1,0,3,1
1877,1,0,3,1
1884,1,0,3,1
1889,2,1,3,1
1895,2,1,3,1
1903,2,1,3,1
1910,2,1,3,1
1915,2,1,3,1
1920,2,1,3,1
