ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,3,1
54,0,0,3,1
102,0,0,3,1
109,0,0,3,1
117,0,0,3,1
125,0,0,3,1
132,0,0,3,1
139,0,0,3,1
145,0,0,3,1
153,0,0,3,1
159,0,0,3,1
168,0,0,3,1
174,0,0,3,1
182,0,0,3,1
190,0,0,3,1
198,0,0,3,1
206,0,0,3,1
212,0,0,3,1
221,0,0,3,1
227,0,0,3,1
235,0,0,3,1
242,0,0,3,1
248,0,0,3,1
256,0,0,3,1
264,0,0,3,1
272,0,0,3,1
279,0,0,3,1
287,0,0,3,1
293,0,0,3,1
300,0,0,3,1
307,0,0,3,1
313,0,0,3,1
322,0,0,3,1
328,0,0,3,1
336,0,0,3,1
343,0,0,3,1
350,0,0,3,1
361,0,0,3,1
369,0,0,3,1
377,0,0,3,1
384,0,0,3,1
391,0,0,3,1
398,0,0,3,1
406,0,0,3,1
412,0,0,3,1
419,0,0,3,1
426,0,0,3,1
434,0,0,3,1
441,0,0,3,1
448,0,0,3,1
455,0,0,3,1
462,0,0,3,1
471,0,0,3,1
477,0,0,3,1
485,0,0,3,1
492,0,0,3,1
500,0,0,3,1
508,0,0,3,1
513,0,0,3,1
521,0,0,3,1
528,0,0,3,1
536,0,0,3,1
543,0,0,3,1
550,0,0,3,1
557,0,0,3,1
565,0,0,3,1
573,0,0,3,1
579,0,0,3,1
588,0,0,3,1
594,0,0,3,1
602,0,0,3,1
609,0,0,3,1
616,0,0,3,1
624,0,0,3,1
631,0,0,3,1
639,0,0,3,1
647,0,0,3,1
655,0,0,3,1
662,0,0,3,1
670,0,0,3,1
677,0,0,3,1
687,0,0,3,1
693,0,0,3,1
701,0,0,3,1
708,0,0,3,1
715,0,0,3,1
724,0,0,3,1
730,0,0,3,1
738,0,0,3,1
745,0,0,3,1
752,0,0,3,1
759,0,0,3,1
766,0,0,3,1
773,0,0,3,1
779,0,0,3,1
788,0,0,3,1
794,0,0,3,1
802,0,0,3,1
809,0,0,3,1
816,0,0,3,1
824,0,0,3,1
830,0,0,3,1
838,0,0,3,1
844,0,0,3,1
851,0,0,3,1
858,0,0,3,1
866,0,0,3,1
873,0,0,3,1
879,0,0,3,1
888,0,0,3,1
894,0,0,3,1
903,0,0,3,1
912,0,0,3,1
920,0,0,3,1
926,0,0,3,1
933,0,0,3,1
941,0,0,3,1
948,0,0,3,1
955,0,0,3,1
962,0,0,3,1
971,0,0,3,1
976,0,0,3,1
984,0,0,3,1
990,0,0,3,1
997,0,0,3,1
1005,0,0,3,1
1016,0,0,3,1
1024,0,0,3,1
1032,0,0,3,1
1040,0,0,3,1
1046,0,0,3,1
1054,0,0,3,1
1061,0,0,3,1
1069,0,0,3,1
1076,0,0,3,1
1085,0,0,3,1
1092,0,0,3,1
1099,0,0,3,1
1107,0,0,3,1
1114,0,0,3,1
1122,0,0,3,1
1127,0,0,3,1
1135,0,0,3,1
1143,0,0,3,1
1150,0,0,3,1
1158,0,0,3,1
1165,0,0,3,1
1174,0,0,3,1
1182,0,0,3,1
1189,0,0,3,1
1195,0,0,3,1
1205,0,0,3,1
1211,0,0,3,1
1219,0,0,3,1
1226,0,0,3,1
1234,0,0,3,1
1241,0,0,3,1
1247,0,0,3,1
1254,0,0,3,1
1261,0,0,3,1
1269,0,0,3,1
1275,0,0,3,1
1283,0,0,3,1
1290,0,0,3,1
1297,0,0,3,1
1305,0,0,3,1
1310,0,0,3,1
1318,0,0,3,1
1326,0,0,3,1
1333,0,0,3,1
1341,0,0,3,1
1347,0,0,3,1
1355,0,0,3,1
1362,0,0,3,1
1371,0,0,3,1
1377,0,0,3,1
1385,0,0,3,1
1392,0,0,3,1
1399,0,0,3,1
1407,0,0,3,1
1413,0,0,3,1
1421,0,0,3,1
1427,0,0,3,1
1435,0,0,3,1
1442,0,0,3,1
1450,0,0,3,1
1457,0,0,3,1
1467,0,0,3,1
1474,0,0,3,1
1481,0,0,3,1
1488,0,0,3,1
1494,0,0,3,1
1502,0,0,3,1
1510,0,0,3,1
1517,0,0,3,1
1524,0,0,3,1
1531,0,0,3,1
1538,0,0,3,1
1545,0,0,3,1
1552,0,0,3,1
1558,0,0,3,1
1564,0,0,3,1
1571,0,0,3,1
1579,0,0,3,1
1588,0,0,3,1
1594,0,0,3,1
1602,0,0,3,1
1609,0,0,3,1
1616,0,0,3,1
1623,0,0,3,1
1630,0,0,3,1
1638,0,0,3,1
1644,0,0,3,1
1651,0,0,3,1
1658,0,0,3,1
1667,0,0,3,1
1673,0,0,3,1
1681,0,0,3,1
1688,0,0,3,1
1694,0,0,3,1
1703,0,0,3,1
1710,0,0,3,1
1721,0,0,3,1
1727,0,0,3,1
1734,0,0,3,1
1741,0,0,3,1
1748,0,0,3,1
1756,0,0,3,1
1762,0,0,3,1
1771,0,0,3,1
1777,1,1,3,1
1786,1,1,3,1
1792,1,1,3,1
1800,1,1,3,1
1807,1,1,3,1
1814,1,1,3,1
1821,1,1,3,1
1827,1,1,3,1
1835,1,1,3,1
1842,1,1,3,1
1849,1,1,3,1
1856,1,1,3,1
1863,1,1,3,1
1874,1,1,3,1
1882,1,1,3,1
1889,1,1,3,1
1895,1,1,3,1
1903,1,1,3,1
1909,1,1,3,1
1917,1,1,3,1
1924,1,1,3,1
1932,1,1,3,1
1940,1,1,3,1
1946,1,1,3,1
1955,1,1,3,1
1961,1,1,3,1
1971,1,1,3,1
1976,1,1,3,1
1985,1,1,3,1
1991,1,1,3,1
1998,1,1,3,1
2006,1,1,3,1
2012,1,1,3,1
2020,1,1,3,1
2027,1,1,3,1
2035,1,1,3,1
2042,1,1,3,1
2049,1,1,3,1
2057,1,1,3,1
2072,1,1,3,1
2083,1,1,3,1
2089,1,1,3,1
2094,1,1,3,1
2103,1,1,3,1
2109,1,1,3,1
