ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
0,0,0,3,1
14,0,0,3,1
18,0,0,3,1
24,0,0,3,1
31,0,0,3,1
39,0,0,3,1
46,0,0,3,1
52,0,0,3,1
60,0,0,3,1
66,0,0,3,1
73,0,0,3,1
80,0,0,3,1
85,0,0,3,1
92,0,0,3,1
97,0,0,3,1
106,0,0,3,1
113,0,0,3,1
120,0,0,3,1
127,0,0,3,1
132,0,0,3,1
138,0,0,3,1
144,0,0,3,1
149,0,0,3,1
155,0,0,3,1
161,0,0,3,1
166,0,0,3,1
172,0,0,3,1
176,0,0,3,1
212,0,0,3,1
217,0,0,3,1
223,0,0,3,1
228,0,0,3,1
234,0,0,3,1
242,0,0,3,1
247,0,0,3,1
252,0,0,3,1
257,0,0,3,1
263,0,0,3,1
270,0,0,3,1
274,0,0,3,1
280,0,0,3,1
284,0,0,3,1
289,0,0,3,1
294,0,0,3,1
298,0,0,3,1
304,0,0,3,1
337,0,0,3,1
342,0,0,3,1
346,0,0,3,1
351,0,0,3,1
356,0,0,3,1
361,0,0,3,1
366,0,0,3,1
371,0,0,3,1
375,0,0,3,1
380,0,0,3,1
385,0,0,3,1
391,0,0,3,1
396,0,0,3,1
402,0,0,3,1
408,0,0,3,1
413,0,0,3,1
420,0,0,3,1
427,0,0,3,1
433,0,0,3,1
441,0,0,3,1
446,0,0,3,1
452,0,0,3,1
458,0,0,3,1
464,0,0,3,1
469,0,0,3,1
476,0,0,3,1
481,0,0,3,1
488,0,0,3,1
493,0,0,3,1
499,0,0,3,1
506,0,0,3,1
513,0,0,3,1
518,0,0,3,1
526,0,0,3,1
531,0,0,3,1
537,0,0,3,1
543,0,0,3,1
550,1,1,3,1
556,1,1,3,1
563,1,1,3,1
571,1,1,3,1
578,1,1,3,1
584,1,1,3,1
591,1,1,3,1
596,1,1,3,1
603,1,1,3,1
609,1,1,3,1
615,1,1,3,1
623,1,1,3,1
628,1,1,3,1
635,1,1,3,1
642,1,1,3,1
647,1,1,3,1
653,1,1,3,1
659,1,1,3,1
665,1,1,3,1
671,1,1,3,1
677,1,1,3,1
683,1,1,3,1
689,1,1,3,1
694,1,1,3,1
701,1,1,3,1
709,1,1,3,1
714,1,1,3,1
721,1,1,3,1
727,1,1,3,1
732,1,1,3,1
739,1,1,3,1
746,1,1,3,1
752,1,1,3,1
759,1,1,3,1
764,1,1,3,1
771,1,1,3,1
776,1,1,3,1
782,1,1,3,1
788,1,1,3,1
794,1,1,3,1
803,1,1,3,1
811,1,1,3,1
817,1,1,3,1
824,1,1,3,1
829,1,1,3,1
835,1,1,3,1
841,1,1,3,1
846,1,1,3,1
852,1,1,3,1
858,1,1,3,1
864,1,1,3,1
872,1,1,3,1
877,1,1,3,1
883,1,1,3,1
890,1,1,3,1
896,1,1,3,1
902,1,1,3,1
910,1,1,3,1
915,1,1,3,1
923,1,1,3,1
928,1,1,3,1
934,1,1,3,1
941,1,1,3,1
947,1,1,3,1
954,1,1,3,1
961,1,1,3,1
