ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,0,1
49,0,0,0,1
91,0,0,0,1
98,0,0,0,1
107,0,0,0,1
113,0,0,0,1
120,0,0,0,1
129,0,0,0,1
134,0,0,0,1
142,0,0,0,1
150,0,0,0,1
157,0,0,0,1
163,0,0,0,1
170,0,0,0,1
179,0,0,0,1
189,0,0,0,1
195,0,0,0,1
202,0,0,0,1
211,0,0,0,1
217,0,0,0,1
226,0,0,0,1
232,0,0,0,1
238,0,0,0,1
245,0,0,0,1
251,0,0,0,1
258,0,0,0,1
268,0,0,0,1
275,0,0,0,1
282,0,0,0,1
291,0,0,0,1
298,0,0,0,1
307,0,0,0,1
313,0,0,0,1
321,0,0,0,1
329,0,0,0,1
335,0,0,0,1
344,0,0,0,1
351,0,0,0,1
360,0,0,0,1
369,0,0,0,1
376,0,0,0,1
382,0,0,0,1
390,0,0,0,1
396,0,0,0,1
403,0,0,0,1
410,0,0,0,1
416,0,0,0,1
425,0,0,0,1
432,0,0,0,1
439,0,0,0,1
446,0,0,0,1
453,0,0,0,1
459,0,0,0,1
467,0,0,0,1
475,0,0,0,1
481,0,0,0,1
488,0,0,0,1
495,0,0,0,1
502,0,0,0,1
510,0,0,0,1
517,0,0,0,1
527,0,0,0,1
533,0,0,0,1
542,0,0,0,1
550,0,0,0,1
556,0,0,0,1
563,0,0,0,1
570,0,0,0,1
578,0,0,0,1
586,0,0,0,1
593,0,0,0,1
600,0,0,0,1
609,0,0,0,1
616,0,0,0,1
624,0,0,0,1
631,0,0,0,1
640,0,0,0,1
650,0,0,0,1
659,0,0,0,1
666,0,0,0,1
675,0,0,0,1
681,0,0,0,1
691,0,0,0,1
699,0,0,0,1
708,0,0,0,1
714,0,0,0,1
723,0,0,0,1
730,0,0,0,1
742,0,0,0,1
750,0,0,0,1
757,0,0,0,1
764,0,0,0,1
772,0,0,0,1
778,0,0,0,1
785,0,0,0,1
794,0,0,0,1
801,0,0,0,1
810,0,0,0,1
817,0,0,0,1
826,0,0,0,1
834,0,0,0,1
841,0,0,0,1
848,0,0,0,1
855,0,0,0,1
863,0,0,0,1
872,1,1,0,1
878,1,1,0,1
887,1,1,0,1
894,1,1,0,1
901,1,1,0,1
910,1,1,0,1
916,1,1,0,1
924,1,1,0,1
930,1,1,0,1
938,1,1,0,1
945,1,1,0,1
953,1,1,0,1
960,1,1,0,1
968,1,1,0,1
976,1,1,0,1
983,1,1,0,1
992,1,1,0,1
998,1,1,0,1
1006,1,1,0,1
1012,1,1,0,1
1019,1,1,0,1
1029,1,1,0,1
1037,1,1,0,1
1045,1,1,0,1
1060,1,1,0,1
1067,1,1,0,1
1074,1,1,0,1
1080,1,1,0,1
1089,1,1,0,1
1096,1,1,0,1
1102,1,1,0,1
1110,1,1,0,1
1118,1,1,0,1
1126,1,1,0,1
1132,1,1,0,1
1140,1,1,0,1
1146,1,1,0,1
1154,1,1,0,1
1161,1,1,0,1
1169,1,1,0,1
1177,1,1,0,1
1183,1,1,0,1
1192,1,1,0,1
1199,1,1,0,1
1209,1,1,0,1
1216,1,1,0,1
1224,1,1,0,1
1231,1,1,0,1
1239,1,1,0,1
1245,1,1,0,1
1253,1,1,0,1
1259,1,1,0,1
1267,1,1,0,1
1274,1,1,0,1
1281,1,1,0,1
1290,1,1,0,1
1296,1,1,0,1
1303,1,1,0,1
1310,1,1,0,1
1317,1,1,0,1
1325,1,1,0,1
1331,1,1,0,1
1339,1,1,0,1
1348,1,1,0,1
1356,1,1,0,1
1363,1,1,0,1
1371,1,1,0,1
1377,1,1,0,1
1384,1,1,0,1
1393,1,1,0,1
1398,2,2,0,1
1408,2,2,0,1
1415,2,2,0,1
1423,2,2,0,1
1431,2,2,0,1
1440,2,2,0,1
1447,2,2,0,1
1454,2,2,0,1
1462,2,2,0,1
1471,2,2,0,1
1477,2,2,0,1
1486,2,2,0,1
1493,2,2,0,1
1499,2,2,0,1
1508,2,2,0,1
1516,2,2,0,1
1523,2,2,0,1
1531,2,2,0,1
1541,2,2,0,1
1548,2,2,0,1
1556,2,2,0,1
1563,2,2,0,1
1572,2,2,0,1
1579,2,2,0,1
1588,2,2,0,1
1595,2,2,0,1
1601,2,2,0,1
1611,2,2,0,1
1619,2,2,0,1
1628,2,2,0,1
1633,2,2,0,1
1643,2,2,0,1
1651,2,2,0,1
1659,2,2,0,1
1667,2,2,0,1
1675,2,2,0,1
1681,2,2,0,1
1690,2,2,0,1
1696,2,2,0,1
1707,2,2,0,1
1714,2,2,0,1
1723,2,2,0,1
1730,2,2,0,1
1738,2,2,0,1
1745,2,2,0,1
