ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
0,0,0,1,1
53,0,0,1,1
103,0,0,1,1
111,0,0,1,1
121,0,0,1,1
125,0,0,1,1
135,0,0,1,1
141,0,0,1,1
150,0,0,1,1
158,0,0,1,1
166,0,0,1,1
174,0,0,1,1
182,0,0,1,1
189,0,0,1,1
200,0,0,1,1
206,0,0,1,1
215,0,0,1,1
222,0,0,1,1
230,0,0,1,1
238,0,0,1,1
246,0,0,1,1
255,0,0,1,1
266,0,0,1,1
274,0,0,1,1
284,0,0,1,1
291,0,0,1,1
300,0,0,1,1
307,0,0,1,1
317,0,0,1,1
323,0,0,1,1
331,0,0,1,1
338,0,0,1,1
346,0,0,1,1
354,0,0,1,1
360,0,0,1,1
368,0,0,1,1
375,0,0,1,1
384,0,0,1,1
391,0,0,1,1
400,0,0,1,1
407,0,0,1,1
416,0,0,1,1
423,0,0,1,1
433,0,0,1,1
439,0,0,1,1
447,0,0,1,1
456,0,0,1,1
463,0,0,1,1
471,0,0,1,1
480,0,0,1,1
487,0,0,1,1
495,0,0,1,1
502,0,0,1,1
509,0,0,1,1
518,0,0,1,1
524,0,0,1,1
532,0,0,1,1
539,0,0,1,1
547,0,0,1,1
556,0,0,1,1
565,0,0,1,1
573,0,0,1,1
581,0,0,1,1
588,0,0,1,1
596,0,0,1,1
604,0,0,1,1
610,0,0,1,1
620,0,0,1,1
626,0,0,1,1
635,0,0,1,1
641,0,0,1,1
650,0,0,1,1
657,0,0,1,1
665,0,0,1,1
674,0,0,1,1
682,0,0,1,1
689,0,0,1,1
697,0,0,1,1
704,0,0,1,1
713,0,0,1,1
721,0,0,1,1
728,0,0,1,1
737,0,0,1,1
744,0,0,1,1
754,0,0,1,1
762,0,0,1,1
770,0,0,1,1
777,0,0,1,1
786,0,0,1,1
794,0,0,1,1
802,0,0,1,1
808,0,0,1,1
817,0,0,1,1
824,0,0,1,1
833,0,0,1,1
840,0,0,1,1
849,0,0,1,1
856,0,0,1,1
864,0,0,1,1
871,0,0,1,1
880,0,0,1,1
887,0,0,1,1
894,0,0,1,1
903,0,0,1,1
911,0,0,1,1
920,0,0,1,1
926,0,0,1,1
936,0,0,1,1
942,0,0,1,1
950,0,0,1,1
959,0,0,1,1
966,0,0,1,1
973,0,0,1,1
981,0,0,1,1
989,0,0,1,1
998,0,0,1,1
1004,0,0,1,1
1011,0,0,1,1
1020,0,0,1,1
1026,0,0,1,1
1036,0,0,1,1
1042,0,0,1,1
1050,0,0,1,1
1057,0,0,1,1
1064,0,0,1,1
1071,0,0,1,1
1078,0,0,1,1
1086,0,0,1,1
1092,0,0,1,1
