ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
14,0,0,3,1
102,0,0,3,1
114,0,0,3,1
125,0,0,3,1
131,0,0,3,1
140,0,0,3,1
148,0,0,3,1
156,0,0,3,1
163,0,0,3,1
170,0,0,3,1
178,0,0,3,1
187,0,0,3,1
195,0,0,3,1
201,0,0,3,1
211,0,0,3,1
218,0,0,3,1
227,0,0,3,1
233,0,0,3,1
243,0,0,3,1
251,0,0,3,1
262,0,0,3,1
269,0,0,3,1
277,0,0,3,1
286,0,0,3,1
295,0,0,3,1
303,0,0,3,1
311,0,0,3,1
318,0,0,3,1
327,0,0,3,1
336,0,0,3,1
345,0,0,3,1
351,0,0,3,1
359,0,0,3,1
366,0,0,3,1
375,0,0,3,1
383,0,0,3,1
391,0,0,3,1
398,0,0,3,1
407,0,0,3,1
415,0,0,3,1
427,0,0,3,1
433,0,0,3,1
443,0,0,3,1
450,0,0,3,1
459,0,0,3,1
467,0,0,3,1
476,0,0,3,1
485,0,0,3,1
493,0,0,3,1
500,0,0,3,1
510,0,0,3,1
516,0,0,3,1
525,0,0,3,1
532,0,0,3,1
541,0,0,3,1
549,0,0,3,1
558,0,0,3,1
565,0,0,3,1
573,0,0,3,1
580,0,0,3,1
590,0,0,3,1
596,0,0,3,1
605,0,0,3,1
612,0,0,3,1
621,0,0,3,1
629,0,0,3,1
637,0,0,3,1
646,0,0,3,1
653,0,0,3,1
661,0,0,3,1
671,0,0,3,1
677,0,0,3,1
687,0,0,3,1
694,0,0,3,1
701,0,0,3,1
710,0,0,3,1
716,0,0,3,1
726,0,0,3,1
733,0,0,3,1
743,0,0,3,1
750,0,0,3,1
758,0,0,3,1
766,0,0,3,1
774,0,0,3,1
781,0,0,3,1
790,0,0,3,1
797,0,0,3,1
806,0,0,3,1
814,0,0,3,1
829,1,1,3,1
837,1,1,3,1
845,1,1,3,1
852,1,1,3,1
861,1,1,3,1
870,1,1,3,1
878,1,1,3,1
886,1,1,3,1
894,1,1,3,1
900,1,1,3,1
909,1,1,3,1
919,1,1,3,1
928,1,1,3,1
935,1,1,3,1
945,1,1,3,1
952,1,1,3,1
961,1,1,3,1
974,1,1,3,1
981,1,1,3,1
990,1,1,3,1
997,1,1,3,1
1005,1,1,3,1
1010,1,1,3,1
1017,1,1,3,1
1027,1,1,3,1
1034,1,1,3,1
1044,1,1,3,1
1051,1,1,3,1
1060,1,1,3,1
1069,1,1,3,1
1078,1,1,3,1
1088,1,1,3,1
1095,1,1,3,1
1104,1,1,3,1
1112,1,1,3,1
1123,1,1,3,1
1130,1,1,3,1
1139,1,1,3,1
1147,1,1,3,1
1155,1,1,3,1
1163,1,1,3,1
1170,1,1,3,1
1178,1,1,3,1
1185,1,1,3,1
1193,1,1,3,1
1204,1,1,3,1
1216,1,1,3,1
1224,1,1,3,1
1232,1,1,3,1
1241,1,1,3,1
1248,1,1,3,1
1257,1,1,3,1
1264,1,1,3,1
1274,1,1,3,1
1282,1,1,3,1
1291,1,1,3,1
1298,1,1,3,1
1307,1,1,3,1
1314,1,1,3,1
1324,1,1,3,1
1330,1,1,3,1
1339,1,1,3,1
1347,1,1,3,1
1355,1,1,3,1
1363,1,1,3,1
1371,1,1,3,1
1378,1,1,3,1
1386,1,1,3,1
1394,1,1,3,1
1403,1,1,3,1
1412,1,1,3,1
1419,1,1,3,1
1428,1,1,3,1
1435,1,1,3,1
1445,1,1,3,1
1453,1,1,3,1
1461,1,1,3,1
1469,1,1,3,1
1477,1,1,3,1
1488,1,1,3,1
1495,1,1,3,1
1505,1,1,3,1
1512,1,1,3,1
1520,1,1,3,1
1528,1,1,3,1
1536,2,2,3,1
1545,2,2,3,1
1553,2,2,3,1
1562,2,2,3,1
1570,2,2,3,1
1576,2,2,3,1
1585,2,2,3,1
1593,2,2,3,1
1599,2,2,3,1
1609,2,2,3,1
1617,2,2,3,1
1626,2,2,3,1
1633,2,2,3,1
1641,2,2,3,1
1650,2,2,3,1
1663,2,2,3,1
1669,2,2,3,1
1677,2,2,3,1
1685,2,2,3,1
1694,2,2,3,1
1703,2,2,3,1
1710,2,2,3,1
1716,2,2,3,1
1727,2,2,3,1
1735,2,2,3,1
1744,2,2,3,1
1751,2,2,3,1
1759,2,2,3,1
1766,2,2,3,1
1776,2,2,3,1
1783,2,2,3,1
1792,2,2,3,1
1799,2,2,3,1
1807,2,2,3,1
1814,2,2,3,1
1824,2,2,3,1
1831,2,2,3,1
1839,2,2,3,1
1847,2,2,3,1
1855,2,2,3,1
1862,2,2,3,1
1870,2,2,3,1
1877,2,2,3,1
1883,2,2,3,1
1892,2,2,3,1
1899,2,2,3,1
1907,2,2,3,1
1914,2,2,3,1
1921,2,2,3,1
1928,2,2,3,1
1934,2,2,3,1
1946,2,2,3,1
1953,2,2,3,1
1961,2,2,3,1
1968,2,2,3,1
1977,2,2,3,1
1983,2,2,3,1
1992,2,2,3,1
1998,2,2,3,1
2006,2,2,3,1
2013,2,2,3,1
2020,2,2,3,1
2027,2,2,3,1
2034,2,2,3,1
2042,2,2,3,1
2048,2,2,3,1
2056,2,2,3,1
2064,2,2,3,1
2071,2,2,3,1
2078,2,2,3,1
2085,2,2,3,1
2092,2,2,3,1
2099,2,2,3,1
2108,2,2,3,1
2114,2,2,3,1
2124,2,2,3,1
2130,2,2,3,1
2138,2,2,3,1
2146,2,2,3,1
2152,2,2,3,1
2160,2,2,3,1
2167,2,2,3,1
2176,2,2,3,1
2183,2,2,3,1
2193,2,2,3,1
2200,2,2,3,1
2210,2,2,3,1
2215,2,2,3,1
2224,2,2,3,1
2230,2,2,3,1
2238,2,2,3,1
2246,2,2,3,1
2254,2,2,3,1
2261,2,2,3,1
2268,2,2,3,1
2277,2,2,3,1
2284,2,2,3,1
2293,2,2,3,1
2300,2,2,3,1
2310,2,2,3,1
2316,2,2,3,1
2326,2,2,3,1
2332,2,2,3,1
2343,2,2,3,1
2349,2,2,3,1
2360,2,2,3,1
2377,2,2,3,1
2384,2,2,3,1
2393,2,2,3,1
2400,2,2,3,1
2411,2,2,3,1
2417,2,2,3,1
2428,2,2,3,1
2434,2,2,3,1
2444,2,2,3,1
2451,2,2,3,1
2462,2,2,3,1
2470,2,2,3,1
2477,2,2,3,1
2487,2,2,3,1
2495,2,2,3,1
2505,2,2,3,1
2514,2,2,3,1
2524,2,2,3,1
2531,2,2,3,1
2540,2,2,3,1
2553,2,2,3,1
2560,2,2,3,1
2568,2,2,3,1
2578,2,2,3,1
2586,2,2,3,1
2594,2,2,3,1
