ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,2,1
65,0,0,2,1
117,0,0,2,1
130,0,0,2,1
144,0,0,2,1
155,0,0,2,1
164,0,0,2,1
173,0,0,2,1
184,0,0,2,1
196,0,0,2,1
204,0,0,2,1
214,0,0,2,1
221,0,0,2,1
230,0,0,2,1
237,0,0,2,1
246,0,0,2,1
253,0,0,2,1
260,0,0,2,1
269,0,0,2,1
278,0,0,2,1
287,0,0,2,1
296,0,0,2,1
304,0,0,2,1
313,0,0,2,1
320,0,0,2,1
331,0,0,2,1
340,0,0,2,1
349,0,0,2,1
356,0,0,2,1
365,0,0,2,1
372,0,0,2,1
381,0,0,2,1
388,0,0,2,1
396,0,0,2,1
404,0,0,2,1
413,0,0,2,1
420,0,0,2,1
429,0,0,2,1
436,0,0,2,1
444,0,0,2,1
451,0,0,2,1
459,0,0,2,1
467,0,0,2,1
475,0,0,2,1
483,0,0,2,1
491,0,0,2,1
499,0,0,2,1
508,0,0,2,1
516,0,0,2,1
522,0,0,2,1
531,0,0,2,1
538,0,0,2,1
547,0,0,2,1
555,0,0,2,1
565,0,0,2,1
573,0,0,2,1
582,0,0,2,1
591,0,0,2,1
598,0,0,2,1
607,0,0,2,1
615,0,0,2,1
621,0,0,2,1
631,0,0,2,1
637,0,0,2,1
646,0,0,2,1
652,0,0,2,1
661,0,0,2,1
669,0,0,2,1
677,0,0,2,1
684,0,0,2,1
692,0,0,2,1
699,0,0,2,1
707,0,0,2,1
714,0,0,2,1
720,0,0,2,1
729,0,0,2,1
735,0,0,2,1
743,0,0,2,1
750,0,0,2,1
759,0,0,2,1
767,0,0,2,1
773,0,0,2,1
780,0,0,2,1
787,0,0,2,1
794,0,0,2,1
802,0,0,2,1
810,0,0,2,1
817,0,0,2,1
824,0,0,2,1
832,0,0,2,1
839,0,0,2,1
847,0,0,2,1
855,0,0,2,1
862,0,0,2,1
870,0,0,2,1
878,0,0,2,1
886,0,0,2,1
894,0,0,2,1
902,0,0,2,1
910,0,0,2,1
917,0,0,2,1
925,0,0,2,1
933,0,0,2,1
941,0,0,2,1
949,0,0,2,1
955,0,0,2,1
963,0,0,2,1
970,0,0,2,1
978,0,0,2,1
985,0,0,2,1
998,0,0,2,1
1005,0,0,2,1
1015,0,0,2,1
1023,0,0,2,1
1031,0,0,2,1
1038,0,0,2,1
1046,0,0,2,1
1053,0,0,2,1
1061,0,0,2,1
1068,0,0,2,1
1076,0,0,2,1
1084,0,0,2,1
1092,0,0,2,1
1098,0,0,2,1
1105,0,0,2,1
1112,0,0,2,1
1118,0,0,2,1
1126,0,0,2,1
1134,0,0,2,1
1142,0,0,2,1
1157,0,0,2,1
1163,0,0,2,1
1170,0,0,2,1
1177,0,0,2,1
1185,0,0,2,1
1193,0,0,2,1
1200,0,0,2,1
1209,0,0,2,1
1215,0,0,2,1
1223,0,0,2,1
1231,0,0,2,1
1238,0,0,2,1
1247,0,0,2,1
1253,0,0,2,1
1261,0,0,2,1
1268,0,0,2,1
1275,0,0,2,1
1281,0,0,2,1
1289,0,0,2,1
1296,0,0,2,1
1303,0,0,2,1
1311,0,0,2,1
1317,0,0,2,1
1325,0,0,2,1
1333,0,0,2,1
1340,0,0,2,1
1348,0,0,2,1
1359,0,0,2,1
1366,0,0,2,1
1373,0,0,2,1
1382,0,0,2,1
1389,0,0,2,1
1397,0,0,2,1
1404,0,0,2,1
1412,0,0,2,1
1418,0,0,2,1
1425,0,0,2,1
1432,0,0,2,1
1439,0,0,2,1
1447,0,0,2,1
1453,0,0,2,1
1462,0,0,2,1
1469,0,0,2,1
1476,0,0,2,1
1483,0,0,2,1
1492,0,0,2,1
1498,0,0,2,1
1507,0,0,2,1
1514,0,0,2,1
1522,0,0,2,1
1529,0,0,2,1
1536,0,0,2,1
1543,0,0,2,1
1551,0,0,2,1
1561,1,0,2,1
1568,1,0,2,1
1577,1,0,2,1
1585,1,0,2,1
1594,1,0,2,1
1601,1,0,2,1
1609,1,0,2,1
1615,1,0,2,1
1622,1,0,2,1
1630,1,0,2,1
1636,1,0,2,1
1644,1,0,2,1
1652,1,0,2,1
1659,1,0,2,1
1665,1,0,2,1
1673,1,0,2,1
1681,1,0,2,1
1689,1,0,2,1
1696,1,0,2,1
1703,1,0,2,1
1711,1,0,2,1
1717,1,0,2,1
1725,1,0,2,1
1732,1,0,2,1
1740,1,0,2,1
1747,1,0,2,1
1753,1,0,2,1
1760,1,0,2,1
1767,1,0,2,1
1775,1,0,2,1
1781,1,0,2,1
1788,1,0,2,1
1795,1,0,2,1
1802,1,0,2,1
1810,1,0,2,1
1817,1,0,2,1
1825,1,0,2,1
1832,1,0,2,1
1840,1,0,2,1
1848,1,0,2,1
1856,1,0,2,1
1863,1,0,2,1
1872,1,0,2,1
1880,1,0,2,1
1888,1,0,2,1
1896,1,0,2,1
1904,1,0,2,1
1912,1,0,2,1
1919,1,0,2,1
1927,1,0,2,1
1935,1,0,2,1
1942,1,0,2,1
1949,1,0,2,1
1957,1,0,2,1
1963,1,0,2,1
1971,1,0,2,1
1978,1,0,2,1
1985,1,0,2,1
1993,1,0,2,1
2000,1,0,2,1
2009,1,0,2,1
2015,1,0,2,1
2023,1,0,2,1
2033,1,0,2,1
2040,1,0,2,1
2047,1,0,2,1
2054,1,0,2,1
2061,1,0,2,1
2069,1,0,2,1
2077,1,0,2,1
2085,1,0,2,1
2094,1,0,2,1
2101,1,0,2,1
2109,1,0,2,1
2115,1,0,2,1
2122,1,0,2,1
2130,1,0,2,1
2137,1,0,2,1
2144,1,0,2,1
2151,1,0,2,1
2159,1,0,2,1
2165,1,0,2,1
2172,1,0,2,1
2180,1,0,2,1
2187,1,0,2,1
2194,1,0,2,1
2202,1,0,2,1
2211,1,0,2,1
2217,1,0,2,1
2225,1,0,2,1
2233,1,0,2,1
2241,1,0,2,1
2248,1,0,2,1
2255,1,0,2,1
2269,1,0,2,1
2278,1,0,2,1
2286,1,0,2,1
2294,1,0,2,1
2300,1,0,2,1
2309,1,0,2,1
2315,1,0,2,1
2321,1,0,2,1
2330,1,0,2,1
2337,1,0,2,1
2344,1,0,2,1
2351,1,0,2,1
2358,1,0,2,1
2365,1,0,2,1
2373,1,0,2,1
2381,1,0,2,1
2389,1,0,2,1
2397,1,0,2,1
2404,1,0,2,1
2412,1,0,2,1
2419,1,0,2,1
2427,1,0,2,1
2433,1,0,2,1
2441,1,0,2,1
2448,1,0,2,1
2455,1,0,2,1
2462,1,0,2,1
2469,1,0,2,1
2477,1,0,2,1
2483,1,0,2,1
2491,1,0,2,1
2498,1,0,2,1
2505,1,0,2,1
2512,1,0,2,1
2519,1,0,2,1
2527,1,0,2,1
2534,1,0,2,1
2542,1,0,2,1
2549,1,0,2,1
2558,2,0,2,1
2564,2,0,2,1
2572,2,0,2,1
2578,2,0,2,1
2584,2,0,2,1
2593,2,0,2,1
2600,2,0,2,1
2609,2,0,2,1
2615,2,0,2,1
2623,2,0,2,1
2629,2,0,2,1
2636,2,0,2,1
2644,2,0,2,1
2650,2,0,2,1
2658,2,0,2,1
2665,2,0,2,1
2673,2,0,2,1
2680,2,0,2,1
2687,2,0,2,1
2695,2,0,2,1
2701,2,0,2,1
2709,2,0,2,1
2716,2,0,2,1
2722,2,0,2,1
2730,2,0,2,1
2737,2,0,2,1
2744,2,0,2,1
2750,2,0,2,1
2757,2,0,2,1
2764,2,0,2,1
2772,2,0,2,1
2782,2,0,2,1
2791,2,0,2,1
2797,2,0,2,1
2804,2,0,2,1
2812,2,0,2,1
2820,2,0,2,1
2828,2,0,2,1
2834,2,0,2,1
2842,2,0,2,1
2849,2,0,2,1
2856,2,0,2,1
2864,2,0,2,1
2872,2,0,2,1
2879,2,0,2,1
2888,2,0,2,1
2895,2,0,2,1
2902,2,0,2,1
2910,2,0,2,1
2917,2,0,2,1
2924,2,0,2,1
2931,2,0,2,1
2939,2,0,2,1
2946,2,0,2,1
2952,2,0,2,1
2961,2,0,2,1
2968,2,0,2,1
2975,2,0,2,1
2981,2,0,2,1
2990,2,0,2,1
2997,2,0,2,1
3003,2,0,2,1
3011,2,0,2,1
3018,2,0,2,1
3027,2,0,2,1
3033,2,0,2,1
3042,2,0,2,1
3048,2,0,2,1
3054,2,0,2,1
3062,2,0,2,1
3071,2,0,2,1
3078,2,0,2,1
3084,2,0,2,1
3092,2,0,2,1
3098,2,0,2,1
3104,2,0,2,1
3112,2,0,2,1
3120,2,0,2,1
3127,2,0,2,1
3133,2,0,2,1
3141,2,0,2,1
3148,2,0,2,1
3154,2,0,2,1
3161,2,0,2,1
3171,2,0,2,1
3178,2,0,2,1
3185,2,0,2,1
3192,2,0,2,1
3200,2,0,2,1
3207,2,0,2,1
3214,2,0,2,1
3222,2,0,2,1
3230,2,0,2,1
3237,2,0,2,1
3245,2,0,2,1
3252,2,0,2,1
3260,2,0,2,1
3266,2,0,2,1
3274,2,0,2,1
3280,2,0,2,1
3287,2,0,2,1
3294,2,0,2,1
3300,2,0,2,1
3309,2,0,2,1
3315,2,0,2,1
3323,2,0,2,1
3330,2,0,2,1
3338,2,0,2,1
3345,2,0,2,1
3352,2,0,2,1
3368,2,0,2,1
3375,2,0,2,1
3382,3,0,2,1
3391,3,0,2,1
3397,3,0,2,1
3404,3,0,2,1
3411,3,0,2,1
3419,3,0,2,1
3427,3,0,2,1
3437,3,0,2,1
3444,3,0,2,1
3451,3,0,2,1
3458,3,0,2,1
3466,3,0,2,1
3473,3,0,2,1
3481,3,0,2,1
3488,3,0,2,1
3495,3,0,2,1
3501,3,0,2,1
3509,3,0,2,1
3516,3,0,2,1
3524,3,0,2,1
3531,3,0,2,1
3537,3,0,2,1
3544,3,0,2,1
3551,3,0,2,1
3560,3,0,2,1
3565,3,0,2,1
3572,3,0,2,1
3580,3,0,2,1
3587,3,0,2,1
3594,3,0,2,1
3601,3,0,2,1
3609,3,0,2,1
3616,3,0,2,1
3624,3,0,2,1
3631,3,0,2,1
3638,3,0,2,1
3645,3,0,2,1
3653,3,0,2,1
3660,3,0,2,1
3667,3,0,2,1
3677,3,0,2,1
3683,3,0,2,1
3692,3,0,2,1
3699,3,0,2,1
3708,3,0,2,1
3714,3,0,2,1
3723,3,0,2,1
3729,3,0,2,1
3735,3,0,2,1
3743,3,0,2,1
3751,3,0,2,1
3758,3,0,2,1
3765,3,0,2,1
3772,3,0,2,1
3779,3,0,2,1
3786,3,0,2,1
3794,3,0,2,1
3802,3,0,2,1
3811,3,0,2,1
3817,3,0,2,1
3826,3,0,2,1
3832,3,0,2,1
3840,3,0,2,1
3848,3,0,2,1
3856,3,0,2,1
3862,3,0,2,1
3869,3,0,2,1
3877,3,0,2,1
3883,3,0,2,1
3892,3,0,2,1
3900,3,0,2,1
3909,3,0,2,1
3915,3,0,2,1
3922,3,0,2,1
3930,3,0,2,1
3936,3,0,2,1
3943,3,0,2,1
3951,3,0,2,1
3959,3,0,2,1
3965,3,0,2,1
3973,3,0,2,1
3980,3,0,2,1
3986,3,0,2,1
3993,3,0,2,1
4000,3,0,2,1
4008,3,0,2,1
4015,3,0,2,1
4023,3,0,2,1
4030,3,0,2,1
4037,3,0,2,1
4044,3,0,2,1
4052,3,0,2,1
4060,3,0,2,1
4066,3,0,2,1
4074,3,0,2,1
4081,3,0,2,1
4088,3,0,2,1
4096,3,0,2,1
4104,3,0,2,1
4113,3,0,2,1
4118,3,0,2,1
4127,3,0,2,1
4135,3,0,2,1
4142,3,0,2,1
4150,3,0,2,1
4158,3,0,2,1
4165,3,0,2,1
4173,3,0,2,1
4181,3,0,2,1
4188,3,0,2,1
4196,3,0,2,1
4202,3,0,2,1
4211,3,0,2,1
4218,3,0,2,1
4227,3,0,2,1
4233,3,0,2,1
4242,3,0,2,1
4250,3,0,2,1
4257,3,0,2,1
4263,3,0,2,1
4270,3,0,2,1
4277,3,0,2,1
4283,3,0,2,1
4291,3,0,2,1
4298,3,0,2,1
4304,3,0,2,1
4311,3,0,2,1
4318,3,0,2,1
4325,3,0,2,1
4332,3,0,2,1
4340,3,0,2,1
4348,3,0,2,1
4354,3,0,2,1
4361,3,0,2,1
4369,3,0,2,1
4376,3,0,2,1
4383,3,0,2,1
4391,3,0,2,1
4398,3,0,2,1
4405,3,0,2,1
4415,3,0,2,1
4422,3,0,2,1
4430,3,0,2,1
4436,3,0,2,1
4444,3,0,2,1
4452,3,0,2,1
4459,3,0,2,1
4469,3,0,2,1
4480,3,0,2,1
4488,3,0,2,1
4495,3,0,2,1
4502,3,0,2,1
4510,3,0,2,1
4516,3,0,2,1
4524,3,0,2,1
4532,3,0,2,1
4539,3,0,2,1
4547,3,0,2,1
4555,3,0,2,1
4562,3,0,2,1
4569,3,0,2,1
4577,3,0,2,1
4582,3,0,2,1
4590,3,0,2,1
4597,3,0,2,1
4603,3,0,2,1
