ElapsedMilliseconds,Count,CorrectCount,ModeStatic,TestNumber
1,0,0,0,1
83,0,0,0,1
90,0,0,0,1
101,0,0,0,1
113,0,0,0,1
120,0,0,0,1
126,0,0,0,1
135,0,0,0,1
140,0,0,0,1
149,0,0,0,1
156,0,0,0,1
164,0,0,0,1
171,0,0,0,1
176,0,0,0,1
184,0,0,0,1
189,0,0,0,1
198,0,0,0,1
206,0,0,0,1
214,0,0,0,1
221,0,0,0,1
227,0,0,0,1
235,0,0,0,1
240,0,0,0,1
249,0,0,0,1
256,0,0,0,1
265,0,0,0,1
271,0,0,0,1
278,0,0,0,1
286,0,0,0,1
292,0,0,0,1
301,0,0,0,1
307,0,0,0,1
316,0,0,0,1
322,0,0,0,1
331,0,0,0,1
337,0,0,0,1
345,0,0,0,1
352,0,0,0,1
359,0,0,0,1
368,0,0,0,1
374,0,0,0,1
382,0,0,0,1
389,0,0,0,1
395,0,0,0,1
404,0,0,0,1
409,0,0,0,1
418,0,0,0,1
424,0,0,0,1
433,0,0,0,1
439,0,0,0,1
447,0,0,0,1
454,0,0,0,1
460,0,0,0,1
469,0,0,0,1
475,0,0,0,1
485,0,0,0,1
491,0,0,0,1
502,0,0,0,1
510,0,0,0,1
518,0,0,0,1
525,0,0,0,1
535,0,0,0,1
541,0,0,0,1
552,0,0,0,1
561,0,0,0,1
571,0,0,0,1
579,0,0,0,1
588,0,0,0,1
595,0,0,0,1
605,0,0,0,1
614,0,0,0,1
622,0,0,0,1
631,0,0,0,1
638,0,0,0,1
646,0,0,0,1
654,0,0,0,1
662,0,0,0,1
671,0,0,0,1
679,0,0,0,1
688,0,0,0,1
695,0,0,0,1
704,0,0,0,1
709,0,0,0,1
719,0,0,0,1
725,0,0,0,1
734,0,0,0,1
740,0,0,0,1
748,0,0,0,1
755,0,0,0,1
765,0,0,0,1
772,0,0,0,1
781,0,0,0,1
788,0,0,0,1
793,0,0,0,1
802,0,0,0,1
810,0,0,0,1
819,0,0,0,1
826,0,0,0,1
836,0,0,0,1
842,0,0,0,1
852,0,0,0,1
859,0,0,0,1
868,0,0,0,1
875,0,0,0,1
884,0,0,0,1
890,0,0,0,1
899,0,0,0,1
906,0,0,0,1
914,0,0,0,1
922,0,0,0,1
930,0,0,0,1
938,0,0,0,1
946,0,0,0,1
953,0,0,0,1
959,0,0,0,1
969,0,0,0,1
975,0,0,0,1
985,0,0,0,1
991,0,0,0,1
1000,0,0,0,1
1008,0,0,0,1
1016,0,0,0,1
1024,0,0,0,1
1032,0,0,0,1
1039,0,0,0,1
1047,0,0,0,1
1054,0,0,0,1
1062,0,0,0,1
1073,0,0,0,1
1085,0,0,0,1
1091,0,0,0,1
1100,0,0,0,1
1107,0,0,0,1
1115,0,0,0,1
1124,0,0,0,1
1134,0,0,0,1
1140,0,0,0,1
1149,0,0,0,1
1157,0,0,0,1
1165,0,0,0,1
1173,0,0,0,1
1182,0,0,0,1
1189,0,0,0,1
1198,0,0,0,1
1206,0,0,0,1
1214,0,0,0,1
1222,0,0,0,1
1232,0,0,0,1
1239,0,0,0,1
1249,0,0,0,1
1256,0,0,0,1
1264,0,0,0,1
1272,0,0,0,1
1280,0,0,0,1
1288,0,0,0,1
1295,0,0,0,1
1304,0,0,0,1
1311,0,0,0,1
1320,0,0,0,1
1327,0,0,0,1
1336,1,0,0,1
1343,1,0,0,1
1353,1,0,0,1
1359,1,0,0,1
1369,1,0,0,1
1375,1,0,0,1
1386,1,0,0,1
1393,1,0,0,1
1405,1,0,0,1
1414,1,0,0,1
1422,1,0,0,1
1430,1,0,0,1
1438,1,0,0,1
1446,1,0,0,1
1456,1,0,0,1
