Time,LogType,Message
2024-11-28 13:47:35.611,Warning,DontDestroyOnLoad only works for root GameObjects or components on root GameObjects.
2024-11-28 13:47:35.738,Log,"Task (1) Order: 2, 6, 1, 5, 9, 4, 8, 3, 7"
2024-11-28 13:47:35.740,Error,Failed to open serial port: The port `COM4' does not exist.
2024-11-28 13:47:36.005,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.557,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.614,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.634,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.644,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.665,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.684,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.700,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.722,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.742,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.776,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.786,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.807,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.823,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.842,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.867,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.885,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.908,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.927,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.943,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:36.973,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.004,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.020,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.035,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.057,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.074,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.097,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.121,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.150,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.167,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.191,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.206,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.232,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
2024-11-28 13:47:37.245,Exception,"ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.
Parameter name: index"
