ElapsedTime,TaskNumber,TargetNumber
5.3678115,0,6
5.8740795,0,1
6.5188605,0,5
7.0228767,0,9
7.6507203,0,4
8.2157415,0,8
8.7033992,0,3
9.2275844,0,7
9.7428912,0,2
12.5174498,1,8
13.6660282,1,3
14.1615199,1,7
14.6356097,1,2
15.0890044,1,6
15.5750888,1,1
16.0843119,1,5
16.5426276,1,9
18.6718147,1,4
20.9626338,2,4
21.9481855,2,8
22.901964,2,3
23.4326939,2,7
23.9079941,2,2
24.4586292,2,6
25.025856,2,1
25.7201804,2,5
26.7878323,2,9
29.5226953,3,9
30.2802114,3,4
30.79882,3,8
31.3697202,3,3
31.9317137,3,7
33.2823641,3,2
34.3682012,3,6
34.9049203,3,1
35.4963649,3,5
37.3863261,4,5
37.940519,4,1
38.5321452,4,6
39.1472071,4,2
39.7756194,4,7
40.2471569,4,3
41.2764642,4,8
42.4264051,4,4
42.9570932,4,9
44.686909,5,3
45.2466008,5,8
46.2759431,5,4
46.7846122,5,9
48.1792581,5,5
48.7215084,5,1
50.090653,5,6
51.3591013,5,2
52.9481642,5,7
54.4832316,6,5
54.972949,6,9
56.0913362,6,4
56.6501856,6,8
57.181,6,3
59.1013009,6,7
59.6157945,6,2
61.2977033,6,6
61.8014909,6,1
63.3655659,7,2
63.8712495,7,6
64.4059218,7,1
64.9224025,7,5
65.406159,7,9
65.9909829,7,4
66.5426629,7,8
66.9986459,7,3
67.5323032,7,7
70.5175489,8,4
71.1182313,8,9
71.7265533,8,5
72.305828,8,1
72.933357,8,6
73.467663,8,2
73.9590612,8,7
75.3558058,8,3
75.8962592,8,8
78.1780186,9,7
78.6908592,9,3
79.2651892,9,8
79.887988,9,4
80.8231917,9,9
83.6909928,9,5
84.3373647,9,1
84.8898325,9,6
85.4934943,9,2
87.7174647,10,7
88.3621094,10,2
89.0196459,10,6
89.6096465,10,1
90.3124932,10,5
91.0282929,10,9
91.9505447,10,4
92.5435768,10,8
93.0704448,10,3
94.9551706,11,8
95.4732797,11,4
95.9982453,11,9
96.5063608,11,5
96.9976997,11,1
97.5040651,11,6
98.014612,11,2
98.5496325,11,7
99.0636569,11,3
100.8180654,12,3
101.7167607,12,7
102.2083954,12,2
102.7287112,12,6
103.7010918,12,1
104.3787329,12,5
105.3780032,12,9
107.0878956,12,4
107.5994427,12,8
109.6054742,13,1
110.0821836,13,6
111.5237054,13,2
112.0606796,13,7
112.565972,13,3
113.0922827,13,8
113.6044278,13,4
114.5693826,13,9
115.1021647,13,5
117.3819008,14,9
117.8765318,14,5
118.8172221,14,1
119.4332647,14,6
119.9135822,14,2
120.3963881,14,7
120.8482228,14,3
121.3550321,14,8
122.8235321,14,4
124.775979,15,6
125.7418149,15,2
126.3039425,15,7
126.8364653,15,3
127.3442775,15,8
128.3784239,15,4
128.8945318,15,9
129.5326224,15,5
130.0790528,15,1
131.8078825,16,1
132.3190957,16,5
132.8028741,16,9
133.3173243,16,4
133.8183124,16,8
134.3490512,16,3
134.8693897,16,7
135.3378984,16,2
135.8347915,16,6
138.1638289,17,2
138.6787793,17,7
139.1914189,17,3
139.6931795,17,8
140.2513522,17,4
141.6259997,17,9
142.122252,17,5
142.9833901,17,1
144.0438676,17,6
145.1596756,17,6
145.6032496,17,6
145.9600293,17,6
146.8869597,17,6
147.3017995,17,6
147.6332648,17,6
148.0897744,17,6
148.5860792,17,6
149.0045407,17,6
149.4885605,17,6
