ElapsedTime,TaskNumber,TargetNumber
6.9476078,0,8
8.5705208,0,3
9.6787301,0,7
11.1212028,0,2
12.6679689,0,6
14.0531708,0,1
15.0346272,0,5
16.0274602,0,9
17.3900803,0,4
19.5746272,1,2
20.6842099,1,6
22.3133647,1,1
23.7352321,1,5
24.7192779,1,9
26.2565172,1,4
27.3732826,1,8
28.5267914,1,3
30.5536577,1,7
32.6883123,2,1
33.7929644,2,6
36.0526296,2,2
37.5326171,2,7
38.8330696,2,3
39.9158349,2,8
41.1294763,2,4
42.1929513,2,9
43.6228914,2,5
45.9426438,3,9
46.9005186,3,5
47.8837406,3,1
49.6346741,3,6
51.5194933,3,2
52.9309255,3,7
54.1021498,3,3
55.5418894,3,8
57.0009943,3,4
59.2335448,4,4
60.3937514,4,8
61.6693571,4,3
62.6639009,4,7
63.8246741,4,2
64.8532785,4,6
65.9221914,4,1
66.8725318,4,5
68.4332121,4,9
71.7466925,5,5
72.767068,5,1
74.1133977,5,6
76.1227043,5,2
77.2511073,5,7
78.6075105,5,3
79.6805473,5,8
80.8036361,5,4
81.9373622,5,9
84.6284828,6,4
86.0198359,6,9
87.054951,6,5
88.1018948,6,1
89.1325803,6,6
90.4461286,6,2
91.4342057,6,7
92.5538967,6,3
94.4210449,6,8
96.6756239,7,8
99.7266034,7,4
101.3106494,7,9
102.4201447,7,5
103.4769383,7,1
104.5365611,7,6
105.780284,7,2
106.8252317,7,7
107.9900087,7,3
110.1155994,8,3
111.6123613,8,8
112.7408849,8,4
113.978775,8,9
115.0812159,8,5
116.1983297,8,1
117.2588273,8,6
118.5840102,8,2
119.7064117,8,7
122.5302018,9,2
123.7297587,9,7
124.9788715,9,3
126.0389357,9,8
127.2939412,9,4
128.4730702,9,9
129.5390269,9,5
131.6256926,9,1
132.6762152,9,6
134.6435351,10,9
135.9100309,10,4
137.0295631,10,8
138.143284,10,3
139.2805326,10,7
140.3665399,10,2
141.7039109,10,6
142.7732465,10,1
143.99821,10,5
146.0412259,11,7
147.2374905,11,2
148.1392168,11,6
150.1470062,11,1
151.3084992,11,5
152.5158088,11,9
153.6359735,11,4
154.7857235,11,8
155.9713376,11,3
158.2902839,12,6
159.3673612,12,2
160.3472827,12,7
161.2917864,12,3
162.3245026,12,8
163.8356664,12,4
164.9704293,12,9
166.0104073,12,5
167.0051926,12,1
169.1210096,13,6
170.1010615,13,1
170.9725337,13,5
173.1115401,13,9
175.9087301,13,4
177.1105576,13,8
178.3569063,13,3
179.6355469,13,7
180.8755831,13,2
183.2488057,14,1
184.2622134,14,5
186.1389108,14,9
187.4090402,14,4
188.9159789,14,8
190.016061,14,3
191.3690223,14,7
192.4993962,14,2
193.4741692,14,6
196.384453,15,7
197.5197268,15,3
198.5110457,15,8
199.5630541,15,4
200.9558875,15,9
202.240898,15,5
203.4460723,15,1
204.381397,15,6
207.1400323,15,2
209.4260748,16,3
210.6837224,16,7
211.7780334,16,2
212.882363,16,6
213.8555175,16,1
215.0509978,16,5
216.6065497,16,9
218.1429397,16,4
219.8472172,16,8
222.3474123,17,5
223.4872984,17,9
225.313036,17,4
226.7284837,17,8
228.1633861,17,3
229.3532841,17,7
230.4945486,17,2
231.6675161,17,6
232.7742185,17,1
233.7738972,17,1
