ElapsedTime,TaskNumber,TargetNumber
21.998596,0,5
22.7146963,0,9
25.3674444,0,4
26.0582204,0,8
26.8493097,0,3
27.4914041,0,7
28.5241889,0,2
29.5968852,0,6
30.2112765,0,1
32.4763005,1,3
33.4540084,1,8
34.0974989,1,4
34.7288352,1,9
36.6979338,1,5
37.3620166,1,1
38.0760372,1,6
39.0747311,1,2
39.6679983,1,7
41.7285061,2,4
42.3358839,2,8
43.2383031,2,3
43.8198681,2,7
44.3230141,2,2
45.0108921,2,6
45.6108517,2,1
46.2661929,2,5
46.8533097,2,9
48.4391744,3,7
49.8793414,3,2
50.4909497,3,6
51.0722837,3,1
52.1925183,3,5
52.7882182,3,9
54.2476104,3,4
55.4165135,3,8
55.9835191,3,3
58.6400578,4,4
59.3183303,4,9
60.7363367,4,5
61.7973135,4,1
62.478666,4,6
63.4250373,4,2
64.3629007,4,7
65.0044702,4,3
65.6026322,4,8
67.4192466,5,9
68.1975033,5,4
68.8381852,5,8
69.3575957,5,3
70.4419177,5,7
71.3586819,5,2
72.0060848,5,6
73.0201516,5,1
74.3183681,5,5
77.3419142,6,7
78.0393835,6,3
78.6846972,6,8
80.239835,6,4
81.7539592,6,9
82.6940221,6,5
83.3520887,6,1
84.0113994,6,6
84.5954826,6,2
86.745149,7,9
88.0303167,7,5
88.9243689,7,1
89.7926444,7,6
90.273346,7,2
91.402717,7,7
92.1376237,7,3
92.6969006,7,8
93.8266689,7,4
95.6666275,8,1
96.4293973,8,5
97.2106045,8,9
97.8059977,8,4
99.1537479,8,8
99.8025162,8,3
100.31462,8,7
101.0587318,8,2
101.7547404,8,6
103.4124422,9,1
104.1431608,9,6
104.8841311,9,2
106.1979119,9,7
106.7976642,9,3
107.5440899,9,8
108.4280595,9,4
109.0045916,9,9
109.9925107,9,5
111.8481681,10,8
112.5336739,10,3
113.6950307,10,7
114.2713357,10,2
115.670169,10,6
116.2958616,10,1
117.711393,10,5
118.5172425,10,9
120.4014849,10,4
122.325467,11,2
123.0029996,11,7
123.5402954,11,3
124.1918148,11,8
124.7186127,11,4
125.5185164,11,9
127.2924854,11,5
127.923131,11,1
128.4853399,11,6
130.3089101,12,2
130.8484661,12,6
131.4093084,12,1
132.1990892,12,5
132.8720909,12,9
133.3385501,12,4
133.9882083,12,8
134.7138024,12,3
135.2186482,12,7
137.434681,13,8
138.0233414,13,4
138.5879119,13,9
139.2379698,13,5
139.8302684,13,1
140.5084617,13,6
141.0316348,13,2
141.5280919,13,7
142.1631956,13,3
144.2456261,14,5
144.8222778,14,1
145.4066169,14,6
145.9228484,14,2
146.4814377,14,7
147.6503261,14,3
148.7026389,14,8
149.4179646,14,4
149.9633569,14,9
151.8124718,15,6
152.5372393,15,1
153.4949612,15,5
154.2569152,15,9
155.7520136,15,4
156.3346811,15,8
156.8938698,15,3
157.5890633,15,7
158.1489196,15,2
161.4635029,16,6
162.0778842,16,2
162.7427837,16,7
163.4576914,16,3
164.211311,16,8
164.9717464,16,4
165.5933629,16,9
166.3974761,16,5
167.1517504,16,1
169.5905659,17,3
170.1318822,17,7
171.1875464,17,2
171.9439409,17,6
173.2992347,17,1
174.5895976,17,5
175.1811126,17,9
175.9743276,17,4
176.5388035,17,8
