ElapsedTime,TaskNumber,TargetNumber
6.0008481,0,9
7.510468,0,4
8.8447178,0,8
10.2406243,0,3
11.6612386,0,7
13.4663619,0,2
14.9451552,0,6
16.4957168,0,1
18.0577106,0,5
20.6616498,1,8
22.0655153,1,3
23.4165452,1,7
24.771378,1,2
26.121601,1,6
27.6049425,1,1
28.9564708,1,5
30.2243091,1,9
31.7936751,1,4
34.5068664,2,1
35.6800498,2,5
36.8252041,2,9
38.2027709,2,4
39.5187989,2,8
40.9297348,2,3
42.4383635,2,7
44.8993002,2,2
46.4783134,2,6
49.8468326,3,5
51.0727653,3,1
52.4800532,3,6
53.7157834,3,2
55.1015587,3,7
56.4976323,3,3
57.9925145,3,8
59.420554,3,4
60.6149392,3,9
63.1344704,4,2
64.4602898,4,7
65.8251395,4,3
67.6386196,4,8
69.0456289,4,4
70.346047,4,9
71.5464619,4,5
72.8406731,4,1
74.3445865,4,6
76.7111732,5,5
78.1621022,5,9
79.6655657,5,4
80.8298645,5,8
82.3102771,5,3
84.5236935,5,7
86.6434593,5,2
88.2017658,5,6
89.4346104,5,1
92.0134462,6,2
93.2471219,6,6
94.4733278,6,1
95.8177016,6,5
97.6820503,6,9
100.1259943,6,4
101.6886155,6,8
103.2081507,6,3
104.9657546,6,7
107.4752809,7,6
108.8255927,7,1
109.8782602,7,5
111.2757794,7,9
112.7863221,7,4
115.0276423,7,8
116.3157972,7,3
117.5991401,7,7
119.0573538,7,2
121.3932759,8,6
123.0576137,8,2
124.390725,8,7
125.7893,8,3
127.1190495,8,8
128.9009504,8,4
130.2073026,8,9
131.6162356,8,5
133.1858209,8,1
135.859451,9,8
137.7944249,9,4
139.2758957,9,9
140.7474715,9,5
142.1034905,9,1
143.4348087,9,6
144.8104192,9,2
146.1999695,9,7
147.4415192,9,3
149.9954656,10,7
152.270993,10,2
153.7435405,10,6
155.0942054,10,1
156.4364949,10,5
157.8468554,10,9
159.3048389,10,4
161.4026599,10,8
162.4627151,10,3
164.7988661,11,3
165.9688866,11,7
167.5548214,11,2
168.7162481,11,6
170.0810944,11,1
171.1164191,11,5
172.3343646,11,9
173.5852681,11,4
174.8441474,11,8
177.1870321,12,4
179.0590988,12,8
180.5204592,12,3
181.8976523,12,7
183.1079112,12,2
184.281397,12,6
185.8765838,12,1
187.343351,12,5
189.200371,12,9
192.0947262,13,1
193.4433972,13,6
194.9319771,13,2
196.1144356,13,7
197.4213464,13,3
198.944336,13,8
200.6934568,13,4
202.0942271,13,9
203.3463295,13,5
205.3965369,14,9
206.8023443,14,5
208.8661654,14,1
210.0145711,14,6
212.5389912,14,2
213.9682448,14,7
215.3326944,14,3
216.5233806,14,8
217.7829862,14,4
220.4209279,15,3
221.6802132,15,8
222.8954576,15,4
224.232923,15,9
225.529928,15,5
227.0529346,15,1
228.7218682,15,6
230.9567734,15,2
232.3005425,15,7
234.5190683,16,4
235.7682874,16,9
237.0520361,16,5
238.2464335,16,1
239.3581187,16,6
241.0029225,16,2
243.5926675,16,7
244.8728865,16,3
245.993425,16,8
248.6577737,17,7
249.8094464,17,3
250.9543705,17,8
252.1297581,17,4
254.2205598,17,9
255.4244522,17,5
256.8310152,17,1
258.3693223,17,6
259.4849172,17,2
