ElapsedTime,TaskNumber,TargetNumber
17.8343066,0,6
18.9857269,0,2
19.718178,0,7
20.4664073,0,3
22.506618,0,8
23.8049553,0,4
24.6616512,0,9
25.6312206,0,5
26.3610782,0,1
28.5454858,1,4
29.2934381,1,8
29.9626101,1,3
30.7209658,1,7
31.9479025,1,2
32.7634564,1,6
34.1590357,1,1
35.5456889,1,5
37.1282189,1,9
39.261414,2,7
40.6124056,2,2
41.4867373,2,6
44.0556722,2,1
46.2053439,2,5
47.122541,2,9
48.5507094,2,4
49.4382587,2,8
50.3022776,2,3
52.6486535,3,5
53.4634705,3,9
54.25154,3,4
55.0357163,3,8
55.7920215,3,3
56.5978382,3,7
62.1138323,3,2
63.1011506,3,6
65.0636037,3,1
67.8269218,4,8
69.3681355,4,4
70.2399224,4,9
71.0341589,4,5
73.6199797,4,1
75.2124439,4,6
76.1009547,4,2
77.0116964,4,7
77.7747466,4,3
80.4585647,5,7
81.1494856,5,3
81.8915621,5,8
82.6099092,5,4
83.455669,5,9
85.887082,5,5
86.7922557,5,1
87.5770899,5,6
88.4389479,5,2
91.4235898,6,6
92.1860084,6,1
92.9230786,6,5
93.6545227,6,9
94.354147,6,4
95.0871838,6,8
95.7191631,6,3
96.502217,6,7
97.216103,6,2
100.1526457,7,3
100.9336802,7,8
101.6357597,7,4
104.3143911,7,9
105.9166234,7,5
107.6243072,7,1
108.6978432,7,6
109.5623756,7,2
110.485815,7,7
113.0562844,8,1
113.8025789,8,6
114.5104647,8,2
115.2417277,8,7
115.9480655,8,3
116.69538,8,8
117.4149706,8,4
118.8651308,8,9
119.7004967,8,5
122.2708858,9,4
122.9638758,9,9
123.6172296,9,5
124.3037051,9,1
125.0574114,9,6
125.7313184,9,2
126.4219083,9,7
127.0792678,9,3
127.7557467,9,8
130.3792132,10,2
131.0136197,10,7
131.6741177,10,3
132.3762261,10,8
132.9712946,10,4
133.6382844,10,9
134.3276657,10,5
135.0356129,10,1
135.7404195,10,6
138.5360277,11,8
139.1514059,11,3
139.8041314,11,7
140.5187299,11,2
141.2976299,11,6
141.991295,11,1
142.6682778,11,5
143.2827808,11,9
144.5341895,11,4
148.1557038,12,2
148.8677034,12,6
149.5546972,12,1
150.2320944,12,5
150.9439659,12,9
151.5486567,12,4
152.1880201,12,8
152.8466279,12,3
153.5122527,12,7
158.0023508,13,3
158.6945182,13,7
159.3542565,13,2
160.0790675,13,6
160.7154756,13,1
161.4103077,13,5
162.1369973,13,9
162.7967117,13,4
164.1628392,13,8
167.2757147,14,9
167.8621863,14,5
168.5160733,14,1
169.1604336,14,6
169.8266896,14,2
170.4545462,14,7
171.1034351,14,3
171.6819974,14,8
172.3767789,14,4
175.1585464,15,9
175.7579142,15,4
176.4491619,15,8
178.6935541,15,3
179.5294658,15,7
180.1469845,15,2
181.6288681,15,6
182.3833374,15,1
183.0336897,15,5
195.3066224,16,5
196.0198263,16,1
196.6796804,16,6
197.3156219,16,2
197.9338848,16,7
198.541043,16,3
199.1887293,16,8
199.8204267,16,4
200.4740336,16,9
203.4654704,17,1
204.1547936,17,5
204.7708889,17,9
205.3365727,17,4
205.9557535,17,8
208.3453341,17,3
209.1268597,17,7
209.7811946,17,2
210.5520805,17,6
