ElapsedTime,TaskNumber,TargetNumber
19.6587331,0,7
21.0884269,0,3
22.1915912,0,8
23.3068538,0,4
26.3831003,0,9
27.626604,0,5
29.7533971,0,1
30.980202,0,6
32.4154573,0,2
39.7094974,1,2
41.2982057,1,6
42.5613732,1,1
43.8195182,1,5
46.8682586,1,9
48.0720866,1,4
49.1456556,1,8
50.2822182,1,3
51.4753015,1,7
57.6786259,2,7
59.4917594,2,2
61.1765714,2,6
62.2401966,2,1
63.1778779,2,5
64.5688259,2,9
65.8053056,2,4
69.3208703,2,8
70.930319,2,3
73.616536,3,8
74.6392008,3,4
75.4717099,3,9
77.2017036,3,5
79.6403039,3,1
80.8702427,3,6
82.1532826,3,2
83.4819165,3,7
84.7919415,3,3
87.5394705,4,1
88.296929,4,6
89.3948678,4,2
90.718661,4,7
91.634001,4,3
92.5937626,4,8
94.0337713,4,4
95.0057238,4,9
96.043799,4,5
100.310466,5,1
102.1054001,5,5
103.1479277,5,9
104.1130388,5,4
105.3712499,5,8
106.3799162,5,3
108.3378628,5,7
109.5603247,5,2
110.7276067,5,6
114.0705311,6,8
115.4766491,6,3
116.5391765,6,7
118.3203242,6,2
119.9519675,6,6
122.2317738,6,1
123.8358852,6,5
125.9233699,6,9
127.0220381,6,4
134.0546557,7,4
135.0468653,7,8
136.461256,7,3
137.6327438,7,7
139.6658484,7,2
141.1116021,7,6
142.4466466,7,1
143.6090091,7,5
145.3653287,7,9
148.0901141,8,3
149.0539267,8,7
150.0230753,8,2
151.0981538,8,6
152.0125365,8,1
154.1300775,8,5
155.8895616,8,9
156.9472874,8,4
159.7662284,8,8
163.6574508,9,9
165.9741676,9,4
167.0594727,9,8
168.2255974,9,3
169.6333465,9,7
170.6313454,9,2
172.933356,9,6
174.4670286,9,1
175.7381115,9,5
180.7455122,10,5
181.6997158,10,1
182.6997574,10,6
183.707748,10,2
184.7242006,10,7
185.6340083,10,3
186.664081,10,8
188.0583677,10,4
189.8173105,10,9
192.1987525,11,3
193.0294935,11,8
194.2506352,11,4
195.8540619,11,9
197.1021194,11,5
198.0175875,11,1
198.9746386,11,6
199.8037757,11,2
200.8563953,11,7
205.3867262,12,4
206.5953329,12,9
207.6636378,12,5
208.955616,12,1
210.3591077,12,6
212.6778259,12,2
213.8166628,12,7
214.6546562,12,3
216.0600011,12,8
218.3346512,13,6
220.0911412,13,2
221.3297933,13,7
222.7840222,13,3
225.8143412,13,8
227.4546118,13,4
229.1308686,13,9
230.9264617,13,5
231.9200189,13,1
234.490185,14,9
235.8927181,14,5
236.9365967,14,1
238.142927,14,6
239.1015699,14,2
243.0709388,14,7
244.8838571,14,3
246.0993614,14,8
247.1319238,14,4
249.8411377,15,5
250.9300146,15,9
251.8446161,15,4
252.8081666,15,8
254.2136505,15,3
255.8572527,15,7
257.5521262,15,2
259.0908841,15,6
261.3069313,15,1
264.1915203,16,2
265.5855416,16,7
268.1008357,16,3
269.4555793,16,8
270.5900451,16,4
271.611628,16,9
272.6175601,16,5
273.6013114,16,1
274.7175574,16,6
281.0821378,17,6
282.1019237,17,1
282.9476193,17,5
283.7843784,17,9
284.794421,17,4
285.661533,17,8
286.65411,17,3
288.2937588,17,7
289.3831423,17,2
