ElapsedTime,TaskNumber,TargetNumber
15.8305182,0,5
7.8912513,0,8
9.3364,0,3
10.4857268,0,7
11.3879678,0,2
12.7697598,0,6
13.8051731,0,1
15.178761,0,5
16.0993024,0,9
17.347911,0,4
20.0487125,1,6
21.0449991,1,2
22.3822733,1,7
23.6669526,1,3
24.509541,1,8
25.4289623,1,4
26.3380991,1,9
27.2110274,1,5
28.0734847,1,1
31.1691644,2,4
33.2165949,2,9
34.1270012,2,5
34.9434246,2,1
35.9511394,2,6
36.8754547,2,2
38.156039,2,7
39.1395091,2,3
39.9741396,2,8
43.3731467,3,2
44.1510616,3,6
45.0067317,3,1
45.729905,3,5
46.3988214,3,9
47.301144,3,4
48.2416478,3,8
49.478613,3,3
50.7262355,3,7
52.7655147,4,7
53.6356426,4,2
55.1982672,4,6
55.903823,4,1
56.8820392,4,5
58.5458809,4,9
59.4794939,4,4
60.3466676,4,8
61.3291725,4,3
63.8014912,5,4
64.6784021,5,8
65.5855427,5,3
66.37085,5,7
67.5596591,5,2
68.5207352,5,6
69.3307019,5,1
70.1741971,5,5
71.9012422,5,9
73.9933133,6,5
74.9590547,6,1
75.982904,6,6
77.2599611,6,2
78.1654753,6,7
79.0430938,6,3
80.3387649,6,8
81.1052095,6,4
81.9267011,6,9
85.1096768,7,1
86.191796,7,6
86.9381228,7,2
88.2407074,7,7
88.9937645,7,3
89.8030456,7,8
91.0464169,7,4
91.7893037,7,9
93.3379696,7,5
98.7507401,8,3
99.8903624,8,8
100.6486689,8,4
101.5667738,8,9
102.3733599,8,5
103.270407,8,1
104.1530995,8,6
105.1750895,8,2
107.0531606,8,7
110.3137362,9,6
111.2185518,9,1
112.3945687,9,5
114.0429797,9,9
115.0811855,9,4
117.221674,9,8
118.166615,9,3
119.4614864,9,7
120.2550617,9,2
123.4922978,10,2
124.4301818,10,7
125.3611925,10,3
126.2752526,10,8
127.447178,10,4
128.2270915,10,9
128.9827605,10,5
130.1256997,10,1
131.0565867,10,6
135.4052213,11,1
136.7779212,11,5
137.600865,11,9
138.5373062,11,4
139.3359473,11,8
140.5213295,11,3
141.3173812,11,7
142.1948541,11,2
143.2559386,11,6
145.8033099,12,5
146.7349091,12,9
148.019854,12,4
148.9433543,12,8
149.6832235,12,3
150.5985873,12,7
152.4700207,12,2
153.7395313,12,6
154.9539918,12,1
157.6145623,13,9
158.5221292,13,5
159.3305211,13,1
160.6171604,13,6
161.768398,13,2
162.7685493,13,7
163.8455052,13,3
164.7819238,13,8
165.8033881,13,4
169.550927,14,9
170.6155464,14,4
172.631977,14,8
173.6616562,14,3
174.8121894,14,7
176.0908875,14,2
177.5478239,14,6
178.3056448,14,1
179.1631515,14,5
182.7525429,15,7
184.5727198,15,3
186.0209502,15,8
187.3638419,15,4
188.2623509,15,9
189.3796938,15,5
190.4082492,15,1
191.4545107,15,6
192.2700139,15,2
195.7391286,16,8
197.2607941,16,4
198.1630545,16,9
199.1065774,16,5
200.600613,16,1
201.8603694,16,6
202.564533,16,2
204.7364398,16,7
205.6262724,16,3
208.7137185,17,3
209.6267791,17,7
210.6519539,17,2
211.5518142,17,6
212.3813147,17,1
213.2027133,17,5
214.5609694,17,9
215.5494273,17,4
216.4507109,17,8
