ElapsedTime,TaskNumber,TargetNumber
4.4047503,0,3
5.0852015,0,8
5.6143341,0,4
6.2371967,0,9
6.8569865,0,5
7.3882607,0,1
7.9714395,0,6
8.5059618,0,2
9.072834,0,7
11.2938153,1,1
12.2578198,1,5
12.8214039,1,9
13.436408,1,4
14.0326292,1,8
14.5621752,1,3
15.0676251,1,7
15.6328075,1,2
16.233678,1,6
19.681456,2,2
20.2843809,2,7
20.8664507,2,3
21.4317251,2,8
22.0542485,2,4
22.6258891,2,9
23.280241,2,5
23.8813786,2,1
24.529208,2,6
26.7971481,3,5
27.413165,3,9
27.9948509,3,4
28.5569852,3,8
31.0805158,3,3
31.7770054,3,7
33.7961297,3,2
34.4532351,3,6
35.0223501,3,1
37.3524764,4,6
37.9877712,4,1
38.7177362,4,5
39.3765303,4,9
40.1252107,4,4
40.8001815,4,8
41.4084828,4,3
42.0355713,4,7
43.2723343,4,2
45.4861229,5,9
46.1829209,5,5
46.7972859,5,1
47.3856175,5,6
47.9192656,5,2
48.6031536,5,7
49.2261146,5,3
49.7876786,5,8
50.3943381,5,4
52.78044,6,2
53.4014188,6,6
54.0039082,6,1
54.6116604,6,5
55.236284,6,9
55.8622565,6,4
56.4467082,6,8
56.9790036,6,3
57.432289,6,7
60.1614759,7,4
61.2358063,7,8
61.7893376,7,3
62.3439513,7,7
62.8772257,7,2
63.433262,7,6
63.9110118,7,1
64.4676748,7,5
64.9566472,7,9
67.3109734,8,6
67.8521255,8,2
68.4618007,8,7
69.0421083,8,3
69.5994731,8,8
70.193793,8,4
70.82471,8,9
71.4288255,8,5
71.9571879,8,1
74.4127893,9,8
74.9966886,9,4
75.5958769,9,9
76.2060106,9,5
76.7812569,9,1
77.3437215,9,6
77.9099151,9,2
78.4588777,9,7
78.9672788,9,3
81.4455291,10,9
81.9929585,10,4
82.5683316,10,8
83.0639966,10,3
83.5866886,10,7
84.1897538,10,2
84.8286244,10,6
85.3917526,10,1
85.8949279,10,5
88.4392065,11,7
88.9936553,11,2
89.5588958,11,6
90.0654212,11,1
90.5850441,11,5
91.1007226,11,9
92.2681147,11,4
92.8614271,11,8
93.3217556,11,3
95.9854725,12,1
96.5662856,12,6
97.1761563,12,2
97.6875496,12,7
98.2773585,12,3
98.7997515,12,8
99.3903659,12,4
99.9070771,12,9
100.4535492,12,5
103.2288456,13,7
103.720195,13,3
104.2843944,13,8
104.8484466,13,4
105.4105647,13,9
105.8843573,13,5
106.4460535,13,1
107.0221901,13,6
108.0364986,13,2
110.6622962,14,4
111.2213921,14,9
111.7831771,14,5
112.3785709,14,1
112.9321638,14,6
113.5151162,14,2
114.0479085,14,7
114.6000288,14,3
115.0788196,14,8
117.535763,15,3
118.0429474,15,7
118.5521338,15,2
119.1088375,15,6
120.4092527,15,1
120.9608645,15,5
121.5284278,15,9
122.0801779,15,4
122.6331523,15,8
125.2010601,16,8
125.7325087,16,3
126.2566514,16,7
126.7743985,16,2
127.3217254,16,6
127.7920238,16,1
128.3476977,16,5
128.8753686,16,9
129.354339,16,4
131.551738,17,5
132.1397087,17,1
132.6688202,17,6
133.2188427,17,2
133.7778523,17,7
134.3023445,17,3
134.8114464,17,8
135.9919837,17,4
136.5353767,17,9
