ElapsedTime,TaskNumber,TargetNumber
6.0763192,0,4
8.4027719,0,8
9.7408781,0,3
11.0648923,0,7
12.3594536,0,2
14.0139703,0,6
16.4933418,0,1
18.6112379,0,5
20.6731916,0,9
23.056332,1,5
25.5061774,1,9
26.6167149,1,4
28.9043412,1,8
30.1547199,1,3
31.9610951,1,7
35.1652952,1,2
36.5646567,1,6
37.5382469,1,1
39.8882107,2,3
41.0129008,2,8
42.2400348,2,4
43.4943023,2,9
46.3710575,2,5
49.4297362,2,1
51.0084814,2,6
53.5128091,2,2
55.1159965,2,7
60.2165854,3,1
62.7327521,3,6
64.7302705,3,2
68.0400844,3,7
69.6329293,3,3
71.1927108,3,8
72.4047616,3,4
74.975288,3,9
76.7420599,3,5
78.7186905,4,3
81.7887943,4,7
84.0102917,4,2
85.5088569,4,6
89.2049719,4,1
91.6885077,4,5
93.2328425,4,9
95.1542669,4,4
96.702589,4,8
99.3615761,5,5
101.3494813,5,1
102.595038,5,6
104.0319634,5,2
105.6618913,5,7
107.0925324,5,3
108.4603634,5,8
109.6653631,5,4
111.7174238,5,9
114.3706815,6,6
117.1936227,6,2
119.6249037,6,7
120.9191804,6,3
122.4856733,6,8
123.7254351,6,4
125.2023671,6,9
127.8111057,6,5
130.5416199,6,1
132.3621823,7,8
133.6705356,7,3
135.5240294,7,7
136.7524152,7,2
139.2345754,7,6
143.2483371,7,1
144.8981714,7,5
146.2644358,7,9
147.8227853,7,4
150.2043247,8,4
151.6003673,8,9
152.8297595,8,5
155.664004,8,1
156.9843184,8,6
158.4053616,8,2
159.9948535,8,7
161.434172,8,3
162.7538504,8,8
167.1199122,9,9
168.4412923,9,5
172.5572643,9,1
174.0763585,9,6
175.220509,9,2
176.6779323,9,7
179.4429144,9,3
181.0952345,9,8
183.3042454,9,4
185.8652691,10,6
188.470708,10,1
191.2957232,10,5
193.3044746,10,9
194.6012361,10,4
196.1956398,10,8
197.438514,10,3
198.9090519,10,7
200.6971969,10,2
207.8986157,11,8
209.3916999,11,4
211.4318871,11,9
213.4861214,11,5
215.2110118,11,1
216.7659948,11,6
219.0456066,11,2
220.2781221,11,7
221.4535674,11,3
223.6861582,12,2
225.2602792,12,7
226.5573454,12,3
227.9222697,12,8
229.3678134,12,4
231.2539453,12,9
233.0839769,12,5
234.6539876,12,1
236.1670021,12,6
238.5907891,13,9
239.7207876,13,4
241.0188759,13,8
242.4372392,13,3
243.5326433,13,7
247.6046767,13,2
249.3860002,13,6
251.2340515,13,1
252.6691887,13,5
257.5532799,14,2
258.9297963,14,6
260.472426,14,1
262.2124679,14,5
264.0658746,14,9
265.6517956,14,4
266.8606734,14,8
268.1501384,14,3
269.6922714,14,7
272.258464,15,7
274.6771606,15,2
276.5918047,15,6
277.5456932,15,1
279.1413485,15,5
280.748054,15,9
281.8878011,15,4
283.1538477,15,8
285.2589281,15,3
288.4182135,16,1
290.3749991,16,5
292.1490837,16,9
293.7093807,16,4
295.5946268,16,8
296.8080192,16,3
298.2874519,16,7
301.1277682,16,2
303.0339071,16,6
305.9846349,17,7
307.3832242,17,3
308.7937399,17,8
310.097116,17,4
311.332371,17,9
312.3296758,17,5
313.1744935,17,1
314.6025616,17,6
315.8970076,17,2
