ElapsedTime,TaskNumber,TargetNumber
3.4806066,0,9
4.1382413,0,4
4.7320669,0,8
5.7669602,0,3
6.3626422,0,7
6.9758517,0,2
7.5548228,0,6
8.2536234,0,1
8.7867346,0,5
10.703537,1,5
11.316926,1,9
11.9651176,1,4
12.5415835,1,8
13.0429032,1,3
13.6770629,1,7
14.2368127,1,2
14.7518226,1,6
15.36682,1,1
17.0890881,2,8
17.5656231,2,4
18.2343935,2,9
18.8799241,2,5
19.4959033,2,1
20.0475739,2,6
21.4538964,2,2
22.0878414,2,7
22.7905946,2,3
24.3841627,3,5
25.0068303,3,1
25.5527058,3,6
26.1855789,3,2
26.8169876,3,7
27.3791196,3,3
28.0206171,3,8
28.6785826,3,4
29.278823,3,9
31.1748835,4,1
31.7787231,4,6
32.5142754,4,2
33.1010838,4,7
33.7444228,4,3
34.3957707,4,8
34.9974308,4,4
35.6234726,4,9
36.2995981,4,5
37.907393,5,7
38.4590713,5,3
39.1372782,5,8
39.7818344,5,4
41.0053206,5,9
41.8379475,5,5
42.4696801,5,1
43.0476079,5,6
43.6419592,5,2
45.0916191,6,6
45.5929226,6,1
46.2066401,6,5
46.7548933,6,9
48.2499927,6,4
48.7867685,6,8
49.3543174,6,3
49.8580172,6,7
50.4569602,6,2
51.9743986,7,8
52.5964532,7,3
53.2572652,7,7
53.803302,7,2
54.9911025,7,6
55.6869133,7,1
58.0126883,7,5
58.7492455,7,9
60.0476065,7,4
61.4873044,8,4
62.1740611,8,9
62.8261575,8,5
63.5852104,8,1
64.2154552,8,6
64.9146155,8,2
65.5363849,8,7
66.1326935,8,3
66.7478532,8,8
68.5375706,9,1
69.1686228,9,5
69.8154549,9,9
70.3850296,9,4
70.9905033,9,8
71.5980858,9,3
72.1991545,9,7
72.7985525,9,2
73.2507943,9,6
74.9049453,10,3
75.4818474,10,8
76.1184511,10,4
76.6942578,10,9
77.3074231,10,5
77.8773083,10,1
78.3973382,10,6
78.9167567,10,2
79.4260752,10,7
81.0829539,11,2
82.3939155,11,7
83.0512288,11,3
83.6736226,11,8
84.2335863,11,4
84.8031143,11,9
85.3760951,11,5
86.0254448,11,1
86.5769221,11,6
88.0906033,12,2
89.2409579,12,6
89.8100778,12,1
90.4116479,12,5
91.099234,12,9
91.6876626,12,4
92.2746661,12,8
92.8389117,12,3
93.4530881,12,7
95.0667897,13,9
95.7589404,13,5
96.3388224,13,1
96.9186752,13,6
97.6427132,13,2
98.2216813,13,7
98.7804803,13,3
99.3027112,13,8
100.6300507,13,4
101.6938794,14,3
102.1794173,14,7
102.7692322,14,2
103.3352377,14,6
103.9048639,14,1
104.5214184,14,5
105.9015849,14,9
106.9539017,14,4
107.5508824,14,8
109.272702,15,7
110.4642447,15,2
111.0575883,15,6
111.5672992,15,1
112.166789,15,5
112.7436058,15,9
113.3819308,15,4
113.8971958,15,8
114.5447839,15,3
116.2872269,16,4
117.4984569,16,8
118.1133839,16,3
118.6627489,16,7
119.2143119,16,2
120.4335338,16,6
120.9989736,16,1
121.5700788,16,5
122.1327762,16,9
123.6780347,17,6
124.3099399,17,2
124.8463161,17,7
125.4180408,17,3
125.9881159,17,8
126.6171516,17,4
127.125886,17,9
127.7223141,17,5
128.2661279,17,1
