ElapsedTime,TaskNumber,TargetNumber
8.312187,0,2
63.0332833,0,7
64.7548602,0,3
67.0304657,0,8
68.010351,0,4
69.3751122,0,9
70.5739481,0,5
73.1168393,0,1
74.437902,0,6
80.040873,1,5
81.5687493,1,9
82.9454853,1,4
83.8748765,1,8
84.7888866,1,3
86.0016958,1,7
86.8627966,1,2
87.7472479,1,6
88.7737441,1,1
95.8398404,2,6
97.139553,2,2
100.8581304,2,7
101.7613338,2,3
102.9440599,2,8
104.1127515,2,4
105.0083835,2,9
105.9211557,2,5
107.2692738,2,1
110.7752817,3,4
113.3979548,3,9
114.2527471,3,5
116.4908962,3,1
117.9536858,3,6
118.7734102,3,2
119.9541083,3,7
121.2174616,3,3
123.6195144,3,8
128.1811102,4,6
130.1992647,4,1
131.7719987,4,5
133.4027714,4,9
134.4185135,4,4
136.2331835,4,8
137.4788047,4,3
138.8041197,4,7
139.9980054,4,2
143.9200055,5,3
145.0813755,5,7
146.8846841,5,2
148.4319032,5,6
150.1140848,5,1
151.7850364,5,5
153.7589745,5,9
154.6954774,5,4
156.5404232,5,8
159.4117799,6,8
160.4920231,6,3
161.5652874,6,7
162.7163446,6,2
163.792413,6,6
164.771292,6,1
165.7854281,6,5
166.748241,6,9
167.6751257,6,4
170.4910275,7,2
172.3701424,7,6
174.5668437,7,1
175.4595946,7,5
177.1363829,7,9
178.1536485,7,4
178.9857674,7,8
180.0375627,7,3
180.8478702,7,7
185.1012542,8,1
185.9123494,8,5
187.2585164,8,9
188.0982121,8,4
189.105836,8,8
190.0754227,8,3
191.217149,8,7
192.3074572,8,2
193.4194053,8,6
204.9001372,9,1
206.2217838,9,6
207.959511,9,2
208.7601691,9,7
209.7890675,9,3
210.6898343,9,8
212.4760661,9,4
214.7635011,9,9
215.9793703,9,5
225.0054449,10,5
226.6835878,10,1
227.7663791,10,6
228.9073432,10,2
229.7640163,10,7
230.9956202,10,3
231.8391734,10,8
233.501102,10,4
234.4477103,10,9
237.9124947,11,7
238.9019381,11,2
239.7618992,11,6
242.5007082,11,1
243.4282393,11,5
245.0939002,11,9
246.0317977,11,4
246.945128,11,8
247.929345,11,3
251.5517753,12,4
252.9301575,12,8
253.9738741,12,3
255.227741,12,7
256.959255,12,2
257.9445118,12,6
260.5201618,12,1
261.6396621,12,5
262.4875811,12,9
316.2020226,13,8
317.3786209,13,4
318.9880565,13,9
319.9045875,13,5
321.4037845,13,1
322.4825345,13,6
323.2897206,13,2
324.1456466,13,7
325.3038766,13,3
328.9709221,14,3
330.1045833,14,8
331.163988,14,4
333.3786672,14,9
334.1309131,14,5
334.9813419,14,1
335.9118456,14,6
336.7461566,14,2
338.0436293,14,7
340.7329059,15,9
341.6362011,15,5
342.3660044,15,1
343.4999562,15,6
344.4460729,15,2
345.5737683,15,7
346.3996948,15,3
349.357335,15,8
350.4758461,15,4
355.3633976,16,9
356.2434827,16,4
357.0710259,16,8
358.5209955,16,3
359.4387349,16,7
360.9657976,16,2
362.0777974,16,6
363.8998049,16,1
364.8462876,16,5
367.8168907,17,7
369.09122,17,3
369.9507191,17,8
371.922145,17,4
373.0341905,17,9
373.9102943,17,5
375.4661438,17,1
376.4373535,17,6
377.2872575,17,2
