ElapsedTime,TaskNumber,TargetNumber
4.428363,0,4
5.3454396,0,9
6.1966173,0,5
7.0290196,0,1
7.9351859,0,6
8.7786398,0,2
9.4634443,0,7
10.1142369,0,3
10.8399201,0,8
15.8903346,1,2
16.5450617,1,6
17.3333392,1,1
18.5449401,1,5
19.2577585,1,9
19.9615915,1,4
20.7399071,1,8
21.4875015,1,3
22.2424558,1,7
25.2273844,2,9
26.1912918,2,5
27.0933859,2,1
27.9862778,2,6
28.7418706,2,2
30.3048955,2,7
30.9784916,2,3
31.8637853,2,8
32.7613555,2,4
37.4600982,3,3
38.2987477,3,8
38.9834918,3,4
42.0677095,3,9
43.0843246,3,5
43.870136,3,1
44.5826046,3,6
45.3663036,3,2
46.1781127,3,7
48.1768012,4,4
48.94991,4,8
49.6348419,4,3
50.4006015,4,7
51.8957097,4,2
52.5509153,4,6
53.2657012,4,1
53.9419285,4,5
54.7302905,4,9
59.4078485,5,3
60.114639,5,7
60.840029,5,2
61.5081957,5,6
62.137875,5,1
62.8100536,5,5
63.5452502,5,9
64.2044681,5,4
64.8794599,5,8
70.3211384,6,7
70.990575,6,3
71.6741003,6,8
72.9695958,6,4
73.6743745,6,9
74.4600757,6,5
75.1595614,6,1
75.8194983,6,6
77.1904518,6,2
81.714118,7,5
82.4869959,7,1
83.1964202,7,6
84.5148994,7,2
85.2063487,7,7
85.8992775,7,3
86.6800248,7,8
87.3805945,7,4
88.1545134,7,9
91.8295843,8,9
92.5368518,8,4
93.2786205,8,8
93.9275609,8,3
95.200562,8,7
95.9253753,8,2
96.5646572,8,6
97.8808377,8,1
98.565057,8,5
144.910677,9,5
145.5841374,9,9
146.3643033,9,4
147.1256272,9,8
147.7953929,9,3
148.4456738,9,7
149.6590802,9,2
150.3345203,9,6
151.1081542,9,1
153.8573757,10,1
155.0492761,10,5
155.6554855,10,9
156.4597648,10,4
157.120454,10,8
157.7432833,10,3
159.0063702,10,7
159.6467663,10,2
160.2711431,10,6
162.9132695,11,7
163.5606664,11,2
164.239056,11,6
164.8603879,11,1
165.4320236,11,5
166.1058359,11,9
166.7378938,11,4
167.3946794,11,8
168.1197877,11,3
170.5074747,12,2
171.1384455,12,7
171.7812526,12,3
172.390236,12,8
173.7623614,12,4
174.3992855,12,9
175.1777914,12,5
175.7923879,12,1
176.3774619,12,6
178.3204798,13,6
179.1503627,13,2
180.4212035,13,7
181.0109303,13,3
181.6030483,13,8
183.0360401,13,4
183.5526061,13,9
184.7186097,13,5
185.3867331,13,1
189.0660954,14,1
189.7002371,14,6
190.4117431,14,2
190.9566244,14,7
191.618908,14,3
192.8787153,14,8
193.4852036,14,4
194.0592813,14,9
194.7208582,14,5
197.3694817,15,8
197.9555,15,3
198.6324358,15,7
199.290617,15,2
199.9088378,15,6
200.4218274,15,1
201.3139361,15,5
201.9524634,15,9
202.5821841,15,4
205.3295319,16,6
206.0956544,16,1
206.7742913,16,5
208.3961799,16,9
209.0726994,16,4
209.753875,16,8
210.3893231,16,3
211.0693469,16,7
211.7781267,16,2
214.646816,17,8
215.2678975,17,4
216.6488428,17,9
217.3303994,17,5
217.984838,17,1
218.5918554,17,6
219.207291,17,2
219.895907,17,7
220.539343,17,3
