ElapsedTime,TaskNumber,TargetNumber
5.484119,0,8
6.8081278,0,3
7.7740361,0,7
8.6820809,0,2
9.5301742,0,6
10.4940609,0,1
11.4960162,0,5
13.5264475,0,9
14.4600744,0,4
18.4549934,1,2
19.4929051,1,6
20.4427805,1,1
21.6533656,1,5
23.3892366,1,9
24.2718801,1,4
25.3048285,1,8
26.1543047,1,3
27.7145747,1,7
32.9383921,2,8
34.0260424,2,4
35.1550117,2,9
36.0488967,2,5
36.9448425,2,1
37.8119538,2,6
38.501127,2,2
39.4117552,2,7
40.1138859,2,3
42.830139,3,1
43.9858607,3,5
44.8686074,3,9
45.6283417,3,4
46.4634016,3,8
47.4330593,3,3
48.9283708,3,7
51.5915752,3,2
52.3666587,3,6
56.1203165,4,5
57.3449447,4,1
58.676871,4,6
59.8294813,4,2
61.0099217,4,7
62.3379642,4,3
63.6016079,4,8
64.9155804,4,4
66.6735937,4,9
72.3283257,5,5
73.4702272,5,9
74.2865026,5,4
75.2442789,5,8
78.461828,5,3
79.6631356,5,7
80.7313796,5,2
81.8302655,5,6
82.9283249,5,1
84.7599969,6,4
89.0679925,6,9
90.669116,6,5
91.6501163,6,1
93.0032076,6,6
93.9336336,6,2
94.7565565,6,7
95.7637511,6,3
96.7617457,6,8
98.7769605,7,6
100.6988819,7,1
101.7617223,7,5
102.7042173,7,9
103.6451788,7,4
104.610985,7,8
105.6246654,7,3
106.6444507,7,7
107.8738756,7,2
110.1521722,8,6
111.4344951,8,2
112.3780314,8,7
113.4401629,8,3
114.3877363,8,8
115.2263093,8,4
118.8091355,8,9
120.1884015,8,5
121.9843561,8,1
124.4079943,9,4
125.5168926,9,8
126.3815411,9,3
128.3956913,9,7
129.6981537,9,2
130.8060899,9,6
133.5700786,9,1
134.536378,9,5
135.8426734,9,9
141.1637489,10,9
141.9796636,10,5
153.0792984,10,1
154.4929505,10,6
155.4402593,10,2
157.0867003,10,7
158.1648968,10,3
159.0490622,10,8
160.8528969,10,4
165.9009396,11,7
166.7182732,11,2
167.9154679,11,6
168.8764502,11,1
170.0563796,11,5
171.10033,11,9
172.090312,11,4
172.9915698,11,8
173.8830386,11,3
178.6297234,12,2
179.6273263,12,7
180.5522317,12,3
182.5123014,12,8
183.5847821,12,4
184.5628151,12,9
185.5253675,12,5
186.4373761,12,1
187.750165,12,6
189.9493996,13,7
190.8761295,13,3
191.8129322,13,8
192.7176752,13,4
193.7627198,13,9
194.8428702,13,5
195.8074732,13,1
197.6094136,13,6
198.7868288,13,2
201.5455628,14,9
202.8128761,14,4
203.6921404,14,8
204.5918856,14,3
205.3446683,14,7
207.0240059,14,2
207.8923682,14,6
209.4292832,14,1
210.4880804,14,5
213.4916488,15,1
214.7708673,15,6
216.1729135,15,2
217.2975824,15,7
218.5533658,15,3
219.7021343,15,8
220.8642036,15,4
222.1518858,15,9
223.2997341,15,5
226.8972942,16,3
227.9513509,16,7
229.0512127,16,2
230.1514739,16,6
231.2197236,16,1
232.2480106,16,5
233.550964,16,9
234.6806249,16,4
235.736761,16,8
238.9676541,17,3
240.0906478,17,8
241.1406336,17,4
242.2445687,17,9
243.5671346,17,5
244.6733004,17,1
245.8619387,17,6
246.897901,17,2
247.9362583,17,7
