ElapsedTime,TaskNumber,TargetNumber
59.1772857,0,5
61.2736708,0,9
62.5101955,0,4
63.7348899,0,8
65.0682205,0,3
67.3258581,0,7
68.5885559,0,2
69.7189094,0,6
73.4142028,0,1
78.184501,1,6
82.5817312,1,1
84.9340871,1,5
89.1103291,1,9
91.9982046,1,4
93.323866,1,8
95.279361,1,3
96.6977957,1,7
98.5131972,1,2
106.0552842,2,2
107.5573445,2,6
109.2519833,2,1
110.41135,2,5
112.3828475,2,9
114.9008298,2,4
116.173365,2,8
117.3850378,2,3
119.4669666,2,7
123.8992638,3,3
125.6318416,3,8
127.4699558,3,4
129.0768151,3,9
130.5391465,3,5
131.679929,3,1
132.880673,3,6
134.1202334,3,2
136.1689528,3,7
141.7343623,4,1
142.8277155,4,5
144.0966873,4,9
145.170231,4,4
146.3939124,4,8
147.5438284,4,3
148.7848028,4,7
150.67093,4,2
151.8372252,4,6
155.3750461,5,3
157.5205502,5,7
159.0076173,5,2
160.0634462,5,6
162.060948,5,1
163.2510934,5,5
164.4446694,5,9
165.4124619,5,4
166.4557294,5,8
169.2032802,6,4
170.2208992,6,8
171.4983225,6,3
172.7052826,6,7
173.8314953,6,2
175.6452358,6,6
177.3808109,6,1
178.5853983,6,5
181.6618268,6,9
187.3080145,7,6
188.5119158,7,2
190.512435,7,7
191.7772036,7,3
193.0400055,7,8
194.2244064,7,4
195.9752968,7,9
197.1255751,7,5
199.3567683,7,1
208.3597006,8,1
210.4720102,8,6
213.5926205,8,2
215.0523609,8,7
216.9654253,8,3
218.5250165,8,8
219.6055326,8,4
221.418403,8,9
222.5701314,8,5
228.239508,9,8
229.7834335,9,3
231.2021679,9,7
232.3003884,9,2
233.7741381,9,6
235.1242296,9,1
236.24519,9,5
240.0250744,9,9
241.7327446,9,4
244.7534915,10,5
245.8634456,10,1
247.719507,10,6
249.3305571,10,2
251.5500602,10,7
252.7283854,10,3
253.8843327,10,8
256.3412399,10,4
258.056773,10,9
267.3388394,11,9
268.6481202,11,5
270.2897263,11,1
271.3335125,11,6
272.453542,11,2
273.7154004,11,7
274.8480433,11,3
276.363948,11,8
277.5050445,11,4
280.1503445,12,9
281.7768595,12,4
283.7435586,12,8
286.7260921,12,3
287.8300479,12,7
289.0049106,12,2
290.9583837,12,6
292.503009,12,1
294.6412457,12,5
297.3492333,13,7
299.5234217,13,2
300.6516046,13,6
301.7805767,13,1
303.7957624,13,5
304.9781636,13,9
306.009314,13,4
307.4771313,13,8
308.5828517,13,3
311.4716943,14,8
313.4022285,14,4
314.3923793,14,9
315.4335408,14,5
316.58041,14,1
317.5836502,14,6
318.9285991,14,2
319.9515329,14,7
321.0511296,14,3
323.7339837,15,7
324.815796,15,3
326.0390153,15,8
327.0644605,15,4
330.413027,15,9
331.8980764,15,5
333.2314401,15,1
334.4493689,15,6
335.5968109,15,2
338.2009633,16,4
339.7951122,16,9
341.3917544,16,5
342.6752791,16,1
343.7305492,16,6
345.5139458,16,2
346.9558914,16,7
348.4205146,16,3
349.622588,16,8
354.3468653,17,2
355.520581,17,7
357.0616737,17,3
358.2182616,17,8
359.2555601,17,4
361.6533706,17,9
362.7042022,17,5
363.715024,17,1
364.7155114,17,6
