ElapsedTime,TaskNumber,TargetNumber
12.9786116,0,2
19.8216581,0,7
23.2260748,0,3
27.6690747,0,8
29.6457112,0,4
30.6121553,0,9
33.999259,0,5
38.9394168,0,1
40.0402833,0,6
44.0946774,1,8
45.1589946,1,3
46.1711193,1,7
47.2117061,1,2
49.0176748,1,6
50.3326685,1,1
52.1945924,1,5
53.3338408,1,9
54.3350219,1,4
64.3132852,2,8
66.1647964,2,4
67.1975452,2,9
69.0249422,2,5
70.0569854,2,1
71.013067,2,6
72.0774397,2,2
73.9622948,2,7
75.0560746,2,3
81.2552771,3,6
82.3689529,3,1
83.2847443,3,5
84.3239138,3,9
85.2682277,3,4
86.3525309,3,8
87.3829139,3,3
89.1807256,3,7
90.2645071,3,2
93.7598137,4,1
94.7453775,4,5
95.7859495,4,9
96.7379162,4,4
98.3356381,4,8
99.319042,4,3
100.370361,4,7
101.4296757,4,2
102.4306898,4,6
105.4999701,5,3
106.7345841,5,8
108.5275941,5,4
109.627176,5,9
110.7106988,5,5
111.7510782,5,1
112.7891093,5,6
113.7277107,5,2
114.5901896,5,7
117.4376725,6,5
118.4895328,6,1
120.1584089,6,6
121.2126722,6,2
122.1003167,6,7
123.0595799,6,3
124.0375733,6,8
125.0169297,6,4
125.9877943,6,9
128.5376518,7,2
129.4568872,7,6
130.4945527,7,1
131.3756989,7,5
132.309231,7,9
133.2188995,7,4
135.0256501,7,8
135.9732076,7,3
136.8890092,7,7
143.3479385,8,7
144.350346,8,3
145.3552349,8,8
146.2101142,8,4
147.1777862,8,9
148.0776985,8,5
149.0876831,8,1
149.8994717,8,6
150.896344,8,2
155.2470701,9,4
156.1644573,9,8
157.077187,9,3
158.0317086,9,7
159.0231713,9,2
160.0054159,9,6
161.0555214,9,1
161.9078673,9,5
162.8591096,9,9
169.320384,10,9
170.6426222,10,4
171.5928873,10,8
172.4748555,10,3
173.3513112,10,7
174.2774463,10,2
175.1334324,10,6
176.0604024,10,1
176.8945819,10,5
180.4417524,11,1
181.2993062,11,6
182.190445,11,2
183.0502005,11,7
183.9994381,11,3
184.9133243,11,8
186.6388226,11,4
187.6081976,11,9
188.5079407,11,5
191.5916315,12,7
193.6966178,12,2
194.55409,12,6
195.4929305,12,1
196.3721254,12,5
197.2442449,12,9
198.9983233,12,4
199.9203152,12,8
200.852347,12,3
204.4351473,13,6
205.4420165,13,2
206.3009418,13,7
207.2517217,13,3
208.1466872,13,8
209.14487,13,4
210.7779362,13,9
211.7073954,13,5
212.7277526,13,1
216.1065697,14,5
217.0739353,14,9
220.5231341,14,4
221.3461294,14,8
222.249018,14,3
223.1108494,14,7
224.0571257,14,2
224.9578136,14,6
225.9540381,14,1
229.5102822,15,9
230.3726415,15,5
231.3203355,15,1
232.2592011,15,6
233.1977707,15,2
234.0753522,15,7
235.0090864,15,3
235.8815387,15,8
237.631091,15,4
240.6064576,16,3
241.5212562,16,7
242.5872834,16,2
243.4816061,16,6
244.400302,16,1
245.2855155,16,5
246.2547866,16,9
247.1310837,16,4
247.9914362,16,8
252.677759,17,4
253.664334,17,9
255.1355776,17,5
256.1144525,17,1
256.9258526,17,6
257.8776322,17,2
258.7417462,17,7
259.7642764,17,3
260.6360761,17,8
