ElapsedTime,TaskNumber,TargetNumber
39.4240844,0,2
40.2357592,0,7
40.9290516,0,3
41.6855847,0,8
42.4115404,0,4
43.1922712,0,9
43.9555312,0,5
44.6921316,0,1
45.4317219,0,6
47.3460924,1,9
48.049721,1,4
48.7953583,1,8
49.4950149,1,3
50.2270347,1,7
50.9280789,1,2
51.6069228,1,6
52.3381216,1,1
53.047734,1,5
54.5837119,2,7
55.2402692,2,2
55.8715027,2,6
56.4988915,2,1
57.1941775,2,5
57.9173052,2,9
58.6221241,2,4
59.3334362,2,8
59.9480076,2,3
61.5287484,3,8
62.1888853,3,4
62.863989,3,9
63.5038823,3,5
64.1722797,3,1
64.8321987,3,6
65.462871,3,2
66.1015521,3,7
66.6867186,3,3
68.4823087,4,1
69.0631144,4,5
69.6730194,4,9
70.2940153,4,4
70.9222497,4,8
73.6506555,4,3
74.3582058,4,7
74.974169,4,2
75.6108448,4,6
77.3239607,5,7
77.8979496,5,3
78.522608,5,8
79.0908218,5,4
79.741499,5,9
80.3076211,5,5
80.9474498,5,1
81.5513355,5,6
82.1746583,5,2
84.2301053,6,6
84.8524779,6,2
85.5173348,6,7
86.1171527,6,3
86.7411222,6,8
87.3184944,6,4
87.9652357,6,9
89.6120955,6,5
90.2182513,6,1
92.0271111,7,9
92.6332069,7,5
93.9148679,7,1
95.2287419,7,6
95.9003204,7,2
97.0952819,7,7
97.7014556,7,3
98.3451821,7,8
98.9698517,7,4
100.4906623,8,4
101.0632073,8,9
101.6366814,8,5
102.1721891,8,1
102.7870706,8,6
103.3577021,8,2
103.8842126,8,7
104.4312933,8,3
104.9897141,8,8
106.7122261,9,2
107.226872,9,6
107.820487,9,1
108.4682912,9,5
109.1193007,9,9
109.7229563,9,4
110.3156759,9,8
110.8486284,9,3
111.4271247,9,7
113.0829621,10,5
113.6881856,10,1
114.2740071,10,6
114.8580401,10,2
116.0721214,10,7
116.7083785,10,3
117.8874008,10,8
118.5455309,10,4
119.2167509,10,9
120.8345119,11,6
121.455641,11,1
122.080473,11,5
122.700035,11,9
123.3506727,11,4
123.9963078,11,8
124.5595488,11,3
125.1952752,11,7
125.8170277,11,2
127.5740873,12,3
128.4026235,12,8
129.423208,12,4
130.0459098,12,9
130.6692507,12,5
131.3253451,12,1
131.9189584,12,6
132.5326992,12,2
133.1665361,12,7
135.053412,13,8
135.67588,13,3
136.3090636,13,7
136.8727372,13,2
138.0850121,13,6
138.7345688,13,1
139.2989088,13,5
139.9542636,13,9
140.5716573,13,4
142.1751754,14,1
142.8051079,14,6
143.4159443,14,2
144.0067268,14,7
144.5894702,14,3
145.2141314,14,8
145.7827789,14,4
146.4135364,14,9
147.5973247,14,5
149.721334,15,4
150.3469487,15,8
150.9118925,15,3
151.509473,15,7
152.0801046,15,2
152.6672094,15,6
153.3068158,15,1
153.9041049,15,5
154.5546301,15,9
157.1724266,16,5
157.7641021,16,9
158.3834295,16,4
159.0395286,16,8
159.628827,16,3
160.2017703,16,7
160.7751679,16,2
161.3731618,16,6
161.9912698,16,1
165.3008811,17,3
166.107518,17,7
166.6677916,17,2
167.2791116,17,6
167.8963965,17,1
168.5402884,17,5
169.2151382,17,9
169.85139,17,4
170.4731191,17,8
