ElapsedTime,TaskNumber,TargetNumber
20.6447343,0,2
21.5825792,0,6
23.6995196,0,1
24.9749752,0,5
25.9075271,0,9
26.8930825,0,4
27.7727412,0,8
28.82465,0,3
29.8078286,0,7
31.8207498,1,3
32.7329497,1,8
33.4211486,1,4
34.6732213,1,9
35.4872614,1,5
36.3600194,1,1
37.2238697,1,6
38.1880904,1,2
38.9945994,1,7
40.7181119,2,7
42.3094515,2,2
43.2533457,2,6
44.4864118,2,1
45.3704873,2,5
47.2079945,2,9
48.164091,2,4
49.188828,2,8
50.0867856,2,3
51.8603289,3,5
52.6513892,3,1
53.5859553,3,6
55.1750424,3,2
57.2381987,3,7
58.2194166,3,3
59.0918488,3,8
60.0118992,3,4
60.8828892,3,9
63.0150811,4,4
63.7303873,4,9
64.6057221,4,5
65.9008974,4,1
66.7703122,4,6
68.0233842,4,2
69.0673569,4,7
69.9063206,4,3
70.8018931,4,8
72.7960529,5,7
73.587499,5,3
74.3482083,5,8
75.2500852,5,4
76.1596234,5,9
76.9074239,5,5
77.7948994,5,1
78.6155772,5,6
79.8744803,5,2
82.5971234,6,4
83.5110202,6,8
84.2976416,6,3
85.07956,6,7
85.9149887,6,2
87.4381309,6,6
88.2791243,6,1
89.4805965,6,5
90.3370915,6,9
92.275575,7,3
93.0730612,7,7
94.0503059,7,2
94.9169472,7,6
95.8556061,7,1
96.7164988,7,5
97.6527265,7,9
98.5844168,7,4
99.4843523,7,8
101.772302,8,2
102.5474731,8,7
103.3038844,8,3
104.2458569,8,8
105.0732816,8,4
105.9454138,8,9
106.693558,8,5
107.5718684,8,1
108.3860245,8,6
111.459749,9,1
112.604926,9,6
113.8302085,9,2
115.2369668,9,7
116.2311588,9,3
117.0563104,9,8
118.3666765,9,4
119.3226774,9,9
120.1931642,9,5
122.2215427,10,1
123.5744413,10,5
124.6404066,10,9
125.6695272,10,4
126.6420895,10,8
127.4509134,10,3
128.254633,10,7
129.2267752,10,2
132.0914871,10,6
134.2901819,11,8
134.996461,11,4
136.6825605,11,9
137.901525,11,5
138.9444028,11,1
139.8209057,11,6
141.0346212,11,2
142.0381771,11,7
142.8266232,11,3
144.8374949,12,8
145.6796473,12,3
146.4777348,12,7
147.4708466,12,2
148.2597832,12,6
149.1538414,12,1
150.0939353,12,5
151.3951685,12,9
152.2029826,12,4
154.2444031,13,6
155.1449992,13,2
155.8762026,13,7
156.6290838,13,3
157.4713805,13,8
158.2758398,13,4
159.5801903,13,9
160.5210995,13,5
161.3498704,13,1
163.6094621,14,9
164.4107443,14,5
166.0317216,14,1
166.9769071,14,6
167.8291035,14,2
168.7292163,14,7
169.5541551,14,3
170.4455056,14,8
171.3134445,14,4
173.6677454,15,6
174.7961405,15,1
175.924834,15,5
176.9588231,15,9
177.8116372,15,4
178.6022387,15,8
179.4258068,15,3
180.2926652,15,7
181.4009657,15,2
184.1555234,16,5
184.9253353,16,9
185.7748515,16,4
186.7044486,16,8
187.4644734,16,3
188.324624,16,7
190.5747143,16,2
191.692958,16,6
192.6167367,16,1
194.5649092,17,9
195.2296904,17,4
196.0524154,17,8
196.9074806,17,3
197.7256468,17,7
198.5201243,17,2
199.8136659,17,6
201.6110566,17,1
202.4686373,17,5
