ElapsedTime,TaskNumber,TargetNumber
3.8909785,0,2
4.7701217,0,6
7.0247911,0,1
7.8410063,0,5
9.1553503,0,9
9.9669302,0,4
10.7025984,0,8
11.3824316,0,3
12.6922357,0,7
14.7451442,1,5
15.3810143,1,1
16.0881179,1,6
16.721061,1,2
17.345812,1,7
18.0041366,1,3
19.2635872,1,8
19.8687591,1,4
21.1012755,1,9
23.2955514,2,7
23.9852161,2,2
25.4337933,2,6
26.7421809,2,1
27.4245777,2,5
28.1175507,2,9
29.9381616,2,4
30.5943329,2,8
31.2053454,2,3
33.3169149,3,2
33.9622303,3,7
34.5801502,3,3
35.195016,3,8
35.8299155,3,4
36.4745568,3,9
37.0711144,3,5
37.7151415,3,1
38.3349062,3,6
40.404319,4,1
41.6707117,4,5
42.3362756,4,9
43.0083643,4,4
43.7112965,4,8
44.3472472,4,3
45.1557088,4,7
45.802733,4,2
46.5098506,4,6
48.387955,5,1
49.105381,5,6
49.8197858,5,2
50.4389162,5,7
51.1864876,5,3
51.8600031,5,8
52.5073309,5,4
53.2216027,5,9
53.8670261,5,5
55.9792609,6,3
56.7008534,6,7
57.3850662,6,2
57.9786457,6,6
59.2722409,6,1
59.9609915,6,5
60.6303187,6,9
61.2012139,6,4
61.9356478,6,8
63.7377561,7,4
64.4846871,7,9
65.1322109,7,5
65.86969,7,1
66.5201311,7,6
67.2157079,7,2
68.4034742,7,7
69.1807314,7,3
69.8644699,7,8
72.3274619,8,7
73.5415513,8,3
74.2459843,8,8
74.9638746,8,4
75.8432676,8,9
76.5177084,8,5
77.2480539,8,1
77.9821602,8,6
78.7071608,8,2
80.8911164,9,6
82.2884931,9,1
82.9442789,9,5
83.6610854,9,9
84.2921325,9,4
84.925505,9,8
85.5840973,9,3
86.2262584,9,7
86.9060157,9,2
88.9637488,10,9
89.6572684,10,4
90.42109,10,8
90.9804755,10,3
91.604984,10,7
92.1939409,10,2
92.9200601,10,6
93.5596622,10,1
95.1170455,10,5
97.2530285,11,8
98.0097419,11,4
98.658071,11,9
99.2751016,11,5
100.4841936,11,1
101.0756139,11,6
102.4483331,11,2
103.1118177,11,7
103.7120054,11,3
105.7463851,12,5
106.3887887,12,9
107.0306576,12,4
107.7645876,12,8
108.3942145,12,3
109.1655895,12,7
109.7644929,12,2
110.4708692,12,6
111.8164391,12,1
113.8533668,13,8
114.4943324,13,3
115.0492994,13,7
116.1666813,13,2
116.8194162,13,6
118.102485,13,1
118.7022315,13,5
119.3346126,13,9
119.9510049,13,4
125.4471552,14,4
126.1915985,14,8
126.8445035,14,3
127.4459108,14,7
128.1300931,14,2
128.792745,14,6
130.1931907,14,1
130.8449247,14,5
131.5369544,14,9
133.3275226,15,6
133.961242,15,2
134.6309156,15,7
135.2198725,15,3
135.8030865,15,8
136.4001081,15,4
137.1463515,15,9
137.7558392,15,5
139.6790466,15,1
141.9243819,16,3
143.3197326,16,8
143.9353062,16,4
144.6379306,16,9
145.3199795,16,5
145.9200929,16,1
146.5419123,16,6
147.1845823,16,2
147.7599027,16,7
150.1745335,17,9
150.8047356,17,5
151.4709805,17,1
152.0554076,17,6
152.6839819,17,2
153.3067386,17,7
153.9825087,17,3
154.6423216,17,8
155.3197986,17,4
