ElapsedTime,TaskNumber,TargetNumber
15.8194621,0,5
16.6690691,0,1
17.2718525,0,6
17.8884897,0,2
19.7039884,0,7
20.9747305,0,3
22.8868188,0,8
24.1533916,0,4
24.8355638,0,9
28.0189026,1,9
30.1289422,1,4
32.5604852,1,8
33.2148791,1,3
33.8486739,1,7
36.3184651,1,2
38.1896031,1,6
38.9640796,1,1
41.1970784,1,5
45.9100489,2,6
46.4951769,2,1
47.0435748,2,5
47.6644756,2,9
48.1915377,2,4
48.7815949,2,8
49.7422128,2,3
50.2436113,2,7
51.2583779,2,2
54.2415763,3,8
54.7247797,3,3
55.2901817,3,7
56.3402142,3,2
56.9039255,3,6
57.5041387,3,1
62.2862004,3,5
62.9703187,3,9
63.5258908,3,4
67.3525679,4,8
67.9010211,4,4
68.5299323,4,9
70.1440421,4,5
70.7213904,4,1
71.2306168,4,6
71.6723591,4,2
73.9938724,4,7
75.586668,4,3
78.8831635,5,4
80.4490554,5,9
81.1442367,5,5
81.8055373,5,1
82.3589268,5,6
82.9666858,5,2
83.9764806,5,7
84.5165711,5,3
85.4963281,5,8
94.1304645,6,3
94.6408858,6,7
95.1496282,6,2
95.6249643,6,6
96.0944235,6,1
97.1943639,6,5
97.7060727,6,9
98.181235,6,4
98.6766534,6,8
106.4985915,7,6
107.5520535,7,2
108.0831004,7,7
108.6036717,7,3
109.1124364,7,8
109.5883663,7,4
110.1042021,7,9
111.1035444,7,5
111.5763657,7,1
117.1486068,8,7
117.6826632,8,2
120.2322075,8,6
122.5276498,8,1
124.7043325,8,5
125.3801615,8,9
125.9322963,8,4
127.1950078,8,8
128.2844591,8,3
138.8221409,9,2
139.3477067,9,6
139.8889871,9,1
140.4135747,9,5
141.0587862,9,9
141.58376,9,4
142.8264643,9,8
143.3352063,9,3
143.9273144,9,7
169.3366188,10,1
169.8836178,10,6
170.4346482,10,2
170.9806186,10,7
171.5021741,10,3
172.6066058,10,8
173.1128986,10,4
173.7215592,10,9
174.275231,10,5
181.0031846,11,2
181.6110123,11,7
183.7006558,11,3
187.7110361,11,8
190.0470946,11,4
190.6897763,11,9
191.2314373,11,5
192.3167023,11,1
193.8786173,11,6
199.8769985,12,1
229.3798256,12,5
230.1238341,12,9
230.6775884,12,4
232.4109781,12,8
233.4593826,12,3
234.4958186,12,7
235.0649901,12,2
236.0940546,12,6
242.1051912,13,3
243.222887,13,8
245.1307466,13,4
245.7430245,13,9
246.7710971,13,5
247.3544324,13,1
247.925935,13,6
249.6088709,13,2
250.1866218,13,7
270.9339128,14,4
273.0409711,14,8
273.6010911,14,3
274.1305681,14,7
275.1166118,14,2
275.6662556,14,6
276.2328786,14,1
276.7689334,14,5
277.3512744,14,9
282.0754063,15,9
282.6167737,15,5
283.1629163,15,1
283.6600418,15,6
284.180121,15,2
284.7056887,15,7
285.6693053,15,3
286.2046067,15,8
287.1187407,15,4
290.5441134,16,5
291.095052,16,9
291.5954144,16,4
292.1742265,16,8
294.1575622,16,3
294.7184532,16,7
295.2212448,16,2
296.2157083,16,6
297.6711042,16,1
301.4041053,17,7
301.9151155,17,3
302.9963976,17,8
303.5219319,17,4
305.1198465,17,9
305.606685,17,5
306.1704683,17,1
306.7208515,17,6
308.1805887,17,2
308.6125427,17,2
