ElapsedTime,TaskNumber,TargetNumber
8.6532528,0,5
10.721116,0,9
11.4332674,0,4
12.0501588,0,8
12.7365199,0,3
13.3346417,0,7
13.9276886,0,2
15.0221421,0,6
16.0279139,0,1
18.751917,1,1
19.946678,1,5
20.9328185,1,9
21.5348956,1,4
22.3337654,1,8
22.9495695,1,3
23.75938,1,7
24.3507335,1,2
24.9488395,1,6
26.9820343,2,8
27.779468,2,3
28.3698189,2,7
29.0141826,2,2
30.086975,2,6
31.0640456,2,1
32.3315153,2,5
33.3331854,2,9
33.9355302,2,4
37.1139482,3,3
37.7537444,3,7
38.6460866,3,2
39.6621522,3,6
40.8766477,3,1
42.095605,3,5
42.7175849,3,9
43.5578301,3,4
44.2193108,3,8
46.9751286,4,7
47.6652164,4,3
49.7584252,4,8
50.3741483,4,4
51.3075358,4,9
52.1244504,4,5
54.28803,4,1
55.1074766,4,6
55.7952363,4,2
57.7448717,5,2
58.8560901,5,7
59.7504761,5,3
60.3897097,5,8
61.0845017,5,4
61.8840405,5,9
62.5186184,5,5
63.3485892,5,1
64.6325548,5,6
66.229244,6,4
66.8364505,6,9
67.7422368,6,5
68.3657842,6,1
69.5028862,6,6
70.307553,6,2
70.9128501,6,7
71.5510613,6,3
72.208302,6,8
73.8663245,7,2
75.1492167,7,6
75.7618248,7,1
76.8625091,7,5
77.7277726,7,9
78.3847867,7,4
79.021815,7,8
79.8928767,7,3
80.7854116,7,7
84.3628078,8,8
85.193144,8,4
85.8460019,8,9
86.578674,8,5
87.1976967,8,1
87.7978865,8,6
88.4601815,8,2
89.3981763,8,7
90.0574669,8,3
92.5088087,9,9
93.6267604,9,5
94.2928453,9,1
96.0881197,9,6
96.9917176,9,2
98.1197512,9,7
99.2653998,9,3
100.2371864,9,8
101.1831552,9,4
103.4176322,10,6
104.0863622,10,1
105.2639192,10,5
106.2346961,10,9
107.6216197,10,4
108.2995319,10,8
110.1976775,10,3
112.0212015,10,7
112.7148823,10,2
116.4411555,11,7
118.6050123,11,2
119.5647416,11,6
120.7651454,11,1
122.0558954,11,5
123.8239506,11,9
125.7266094,11,4
127.164709,11,8
129.8377328,11,3
136.1974463,12,6
137.6116157,12,2
139.2357976,12,7
140.5087316,12,3
142.0396225,12,8
142.9607764,12,4
143.9321418,12,9
144.6389873,12,5
145.3002074,12,1
150.7123372,13,4
152.3922595,13,8
154.0349097,13,3
156.1736145,13,7
156.9536396,13,2
158.0128115,13,6
159.2641881,13,1
160.4881221,13,5
162.2534195,13,9
165.6984022,14,5
166.4812734,14,1
167.1788206,14,6
168.1602637,14,2
169.0659887,14,7
169.9296384,14,3
170.668615,14,8
171.3650295,14,4
172.2892631,14,9
176.1517677,15,3
176.8935365,15,8
177.6542575,15,4
178.3818556,15,9
179.4282155,15,5
181.1107751,15,1
182.0682655,15,6
182.9755635,15,2
183.9578022,15,7
189.5670251,16,9
192.0229559,16,4
193.4225723,16,8
195.6362507,16,3
196.6525155,16,7
198.5410472,16,2
200.0253247,16,6
200.7414339,16,1
201.7268252,16,5
205.1237547,17,1
207.1013249,17,6
207.7902514,17,2
208.8201011,17,7
209.5314357,17,3
210.5354415,17,8
211.335357,17,4
212.2683828,17,9
213.0326157,17,5
213.2832386,17,5
214.3460079,17,5
214.5912475,17,5
214.7926148,17,5
214.9920795,17,5
215.2080508,17,5
215.9190223,17,5
216.1640976,17,5
216.4152586,17,5
216.6808065,17,5
216.9053221,17,5
217.1323752,17,5
