ElapsedTime,TaskNumber,TargetNumber
15.4071226,0,5
16.732077,0,1
18.2156225,0,6
19.8385188,0,2
21.2870094,0,7
22.6492181,0,3
24.1626375,0,8
25.9746886,0,4
27.5093841,0,9
32.1004907,1,7
33.6455776,1,3
34.8882785,1,8
35.9939251,1,4
37.3243742,1,9
39.1904301,1,5
40.5058409,1,1
42.2209369,1,6
45.6786077,1,2
48.9330467,2,3
50.5876581,2,7
51.8201451,2,2
53.0355029,2,6
54.3581836,2,1
55.6986807,2,5
56.8757359,2,9
58.3059755,2,4
59.864446,2,8
63.2717692,3,3
65.6405411,3,8
67.038388,3,4
68.3738392,3,9
69.5886665,3,5
70.9706553,3,1
72.3129174,3,6
73.5875769,3,2
75.1379136,3,7
78.2674537,4,4
79.4853234,4,9
80.7012616,4,5
82.2236812,4,1
83.8810067,4,6
85.0703148,4,2
86.2536901,4,7
87.5053077,4,3
88.7054119,4,8
91.6770374,5,2
92.8120285,5,6
94.7480707,5,1
96.2195206,5,5
97.5099435,5,9
98.8661057,5,4
100.119605,5,8
101.384897,5,3
102.6913101,5,7
105.8096779,6,8
107.2608364,6,3
108.6876051,6,7
109.8721905,6,2
111.0819314,6,6
112.4472917,6,1
113.80385,6,5
115.9782455,6,9
117.2636518,6,4
119.7868884,7,1
121.3787322,7,6
122.5736428,7,2
124.3228756,7,7
125.5772984,7,3
126.9076753,7,8
128.3422167,7,4
130.5180822,7,9
131.8992987,7,5
135.5572564,8,6
136.8561914,8,2
138.2455537,8,7
139.2655422,8,3
140.39702,8,8
141.7062942,8,4
142.8360614,8,9
143.8959557,8,5
145.1251634,8,1
148.1459163,9,6
149.4326404,9,1
150.5692565,9,5
151.8071748,9,9
153.2787836,9,4
154.4914001,9,8
157.2925601,9,3
159.1490011,9,7
160.708112,9,2
163.5589978,10,7
165.247941,10,2
166.4955669,10,6
167.9298209,10,1
169.0755502,10,5
170.2223613,10,9
173.8059403,10,4
175.3397027,10,8
176.4063694,10,3
183.6266031,11,5
184.7785833,11,9
185.9675722,11,4
187.0151765,11,8
188.0928086,11,3
189.3147407,11,7
190.4399938,11,2
192.7188158,11,6
194.160426,11,1
198.0930444,12,9
199.5303521,12,4
200.6275211,12,8
201.8235138,12,3
203.0835328,12,7
204.2605078,12,2
205.3274794,12,6
206.4783783,12,1
208.4270585,12,5
211.1881693,13,9
212.3747272,13,5
213.7745905,13,1
214.9657303,13,6
216.0036149,13,2
217.1809397,13,7
218.6605973,13,3
219.9859199,13,8
221.2038995,13,4
236.8400824,14,4
238.4737073,14,8
239.8505208,14,3
241.7672617,14,7
243.249648,14,2
244.3340802,14,6
245.5521014,14,1
246.6833278,14,5
248.0823564,14,9
253.589615,15,8
254.9742596,15,4
258.7321469,15,9
260.089644,15,5
261.3766197,15,1
262.6209434,15,6
263.9163342,15,2
265.2647174,15,7
266.4869363,15,3
269.5501801,16,1
270.717312,16,5
272.0661832,16,9
273.2058318,16,4
274.4622439,16,8
275.5990595,16,3
276.7892259,16,7
278.0434819,16,2
279.2043204,16,6
283.9878025,17,2
285.0309124,17,7
286.003057,17,3
287.0637102,17,8
288.2892435,17,4
289.5142555,17,9
291.6176023,17,5
292.9549807,17,1
294.3172908,17,6
