ElapsedTime,TaskNumber,TargetNumber
11.5573644,0,5
12.2694149,0,1
12.8587878,0,6
13.4517458,0,2
14.1193148,0,7
14.7530726,0,3
15.38756,0,8
15.9983743,0,4
16.6670803,0,9
18.2971763,1,8
18.7923305,1,3
19.4052818,1,7
19.9689719,1,2
23.8622152,1,6
24.6670538,1,1
25.3380305,1,5
25.9936077,1,9
26.6417499,1,4
33.9286254,2,2
34.5935473,2,7
35.2473964,2,3
35.9904228,2,8
36.6733821,2,4
37.4556487,2,9
38.207157,2,5
38.8419001,2,1
39.5105182,2,6
45.9346716,3,6
46.5422239,3,2
47.1267745,3,7
47.6731453,3,3
48.2703498,3,8
48.9046167,3,4
49.5320139,3,9
50.1103338,3,5
50.8221436,3,1
56.7218121,4,1
58.6437669,4,6
59.3230995,4,2
60.0018202,4,7
60.5812729,4,3
61.3037331,4,8
61.9205509,4,4
62.6049199,4,9
63.2359994,4,5
65.8371445,5,4
66.4287981,5,9
67.0047864,5,5
67.5348491,5,1
68.1725373,5,6
68.7950717,5,2
70.122617,5,7
70.8324792,5,3
71.6088101,5,8
74.2276642,6,7
74.8756883,6,3
75.6000022,6,8
76.2335516,6,4
76.9933697,6,9
77.6991971,6,5
78.3315736,6,1
78.9773549,6,6
79.6080367,6,2
82.6066482,7,9
83.1825166,7,4
83.8296547,7,8
84.408417,7,3
85.0815739,7,7
85.6985368,7,2
87.925449,7,6
88.7816393,7,1
89.619852,7,5
92.7321597,8,1
93.5096296,8,5
94.2490635,8,9
94.9702485,8,4
95.6995864,8,8
96.359226,8,3
97.0730088,8,7
97.715098,8,2
98.3382687,8,6
100.5759111,9,8
101.1508934,9,4
101.8573748,9,9
102.5012681,9,5
103.1832775,9,1
103.8156856,9,6
104.406341,9,2
105.0950898,9,7
105.6686217,9,3
108.1181093,10,7
108.666358,10,2
109.2736536,10,6
109.8550277,10,1
110.4991658,10,5
111.1164322,10,9
111.7291199,10,4
112.3290868,10,8
112.9047776,10,3
115.6327278,11,4
116.9800464,11,8
117.6491257,11,3
118.366499,11,7
118.9596314,11,2
119.5699353,11,6
120.1929085,11,1
120.8496185,11,5
121.5322557,11,9
127.1279572,12,9
128.5602182,12,5
129.2333368,12,1
129.8451064,12,6
130.4389139,12,2
132.4726007,12,7
133.213829,12,3
133.9716445,12,8
134.6054179,12,4
137.8190774,13,3
138.5597358,13,8
139.2262935,13,4
139.8639917,13,9
140.4795037,13,5
141.0726852,13,1
142.5192319,13,6
143.1798324,13,2
143.9023472,13,7
146.471199,14,3
148.4543681,14,7
149.1595624,14,2
150.6329619,14,6
151.5348889,14,1
152.2733005,14,5
152.9993256,14,9
153.7026263,14,4
154.3805212,14,8
157.027746,15,5
158.2346655,15,9
158.9884475,15,4
159.585826,15,8
160.8307332,15,3
161.5696837,15,7
162.2023803,15,2
162.9284234,15,6
163.6794234,15,1
166.952228,16,6
168.2746929,16,1
168.9653562,16,5
169.6683714,16,9
170.3689962,16,4
171.0828187,16,8
173.8719092,16,3
174.6949288,16,7
176.5916821,16,2
181.9417844,17,2
182.5631543,17,6
183.243284,17,1
183.9076034,17,5
184.5857947,17,9
185.2605494,17,4
185.9099705,17,8
186.4740085,17,3
187.1270108,17,7
