ElapsedTime,TaskNumber,TargetNumber
3.4871356,0,3
4.2145655,0,8
4.8405805,0,4
5.4939939,0,9
6.2298306,0,5
8.0425657,0,1
10.0878486,0,6
12.5841985,0,2
13.3231265,0,7
16.4203536,1,9
18.669956,1,5
19.4857005,1,1
20.8551938,1,6
25.2659111,1,2
26.1723188,1,7
27.0203566,1,3
27.8487394,1,8
28.8026896,1,4
33.1019619,2,5
33.9003493,2,1
35.5443151,2,6
36.2359639,2,2
37.9226372,2,7
39.4230765,2,3
40.3024954,2,8
41.1915142,2,4
42.1055478,2,9
56.0878259,3,4
56.9249409,3,8
57.7614315,3,3
58.5838586,3,7
59.4392283,3,2
60.2658144,3,6
64.4871754,3,1
65.597304,3,5
66.4358056,3,9
69.1190177,4,3
69.8695524,4,7
70.6041245,4,2
71.296594,4,6
72.0627958,4,1
72.854209,4,5
73.5721026,4,9
74.9880331,4,4
75.8136427,4,8
78.6530987,5,7
79.7886416,5,2
80.5469108,5,6
81.1970862,5,1
82.329,5,5
83.0093616,5,9
83.8093678,5,4
84.4829321,5,8
85.1328984,5,3
87.8295487,6,8
88.5076924,6,3
89.1317625,6,7
89.7625701,6,2
90.4438705,6,6
91.0836916,6,1
91.7289297,6,5
92.2991471,6,9
92.9979175,6,4
95.6779362,7,6
96.3281932,7,1
96.9649777,7,5
97.5976424,7,9
99.6924585,7,4
100.4400783,7,8
101.1047415,7,3
101.7756971,7,7
103.0162835,7,2
105.6778408,8,6
106.2779187,8,2
107.604521,8,7
108.2580991,8,3
108.9094912,8,8
109.6533222,8,4
110.3161885,8,9
111.0497688,8,5
111.7185572,8,1
114.4475724,9,1
115.6987125,9,5
116.3522077,9,9
117.5782004,9,4
118.2850367,9,8
118.8803497,9,3
119.520128,9,7
121.2675303,9,2
122.0204577,9,6
125.1032674,10,1
125.784861,10,6
126.3671995,10,2
127.5173143,10,7
128.1771836,10,3
128.8543536,10,8
129.5612892,10,4
130.1475431,10,9
130.8162792,10,5
134.0516815,11,9
134.6794129,11,4
135.3571181,11,8
136.0301956,11,3
136.6061264,11,7
138.0189796,11,2
138.6957385,11,6
139.2999864,11,1
140.7432213,11,5
143.4286063,12,2
144.6568851,12,7
145.292162,12,3
145.9623515,12,8
146.6921412,12,4
147.4182469,12,9
148.1304993,12,5
148.7596271,12,1
149.5369398,12,6
152.2190901,13,5
152.8911038,13,9
153.5255447,13,4
154.1193684,13,8
154.7764086,13,3
155.3540814,13,7
155.966346,13,2
156.5887186,13,6
157.2572759,13,1
159.7705737,14,4
160.4095426,14,9
161.8408906,14,5
162.5483577,14,1
163.2227659,14,6
163.9191983,14,2
164.6443304,14,7
165.2982073,14,3
165.8831193,14,8
168.2015478,15,2
168.8390477,15,6
170.1973427,15,1
170.8878123,15,5
172.1388786,15,9
172.9900492,15,4
173.720552,15,8
174.3557755,15,3
174.9384756,15,7
177.2344317,16,7
177.8526733,16,3
178.5169143,16,8
179.1267732,16,4
179.8332423,16,9
181.0025598,16,5
181.6355269,16,1
182.2417641,16,6
182.9246632,16,2
185.2115783,17,8
185.806498,17,4
186.3476134,17,9
186.9983854,17,5
189.7650572,17,1
191.2377951,17,6
191.8477114,17,2
192.474081,17,7
193.2071959,17,3
193.9799343,17,3
194.8699715,17,3
