ElapsedTime,TaskNumber,TargetNumber
8.6558934,0,7
10.5287111,0,2
11.6731961,0,6
12.5703858,0,1
13.3050815,0,5
13.9958147,0,9
15.1651259,0,4
15.9947203,0,8
17.3071859,0,3
19.3650114,1,9
20.2076544,1,4
20.9451779,1,8
22.0240178,1,3
22.8665012,1,7
23.6257341,1,2
24.3303791,1,6
25.0654196,1,1
25.8936135,1,5
27.9793112,2,3
28.6787466,2,7
29.8414162,2,2
30.5225951,2,6
31.7069356,2,1
32.526351,2,5
33.1960358,2,9
33.9557441,2,4
34.7675515,2,8
36.6885947,3,2
37.6723737,3,6
39.2340434,3,1
39.9867761,3,5
40.6194594,3,9
41.3333438,3,4
43.0874852,3,8
43.7899446,3,3
44.5250832,3,7
46.3838822,4,8
47.2543236,4,3
48.7177112,4,7
50.2042582,4,2
50.8355636,4,6
51.5374354,4,1
52.2580181,4,5
52.8977845,4,9
53.6026843,4,4
56.5319968,5,5
57.1350771,5,9
57.8254815,5,4
58.5370714,5,8
59.3150107,5,3
60.9639376,5,7
61.7650813,5,2
62.5291169,5,6
64.2996266,5,1
66.420095,6,7
67.1908075,6,3
70.1461957,6,8
71.3671696,6,4
72.6048064,6,9
73.2561878,6,5
75.5428761,6,1
76.7297505,6,6
77.7702231,6,2
80.2602932,7,5
81.368682,7,1
81.9952476,7,6
82.6408945,7,2
83.3932993,7,7
84.1208697,7,3
85.1921526,7,8
85.9076043,7,4
86.6458861,7,9
89.8080159,8,6
90.7010912,8,1
91.4020334,8,5
92.0809292,8,9
92.7890252,8,4
93.6052953,8,8
94.3867132,8,3
95.1340366,8,7
95.7442776,8,2
97.851801,9,4
98.5447025,9,8
99.3021798,9,3
99.9710465,9,7
100.6036453,9,2
101.1960593,9,6
101.7852668,9,1
102.7350291,9,5
103.4397521,9,9
106.2871981,10,1
107.0829872,10,6
107.6940958,10,2
108.234381,10,7
108.9364237,10,3
109.4591302,10,8
110.0697265,10,4
111.0457855,10,9
111.5424135,10,5
113.5903268,11,1
114.3457028,11,5
115.2475965,11,9
116.6238966,11,4
117.4130156,11,8
118.2152016,11,3
119.0576414,11,7
119.9620068,11,2
120.6648536,11,6
122.5585318,12,3
124.2100264,12,8
124.9034451,12,4
126.3369003,12,9
126.8250303,12,5
127.6204628,12,1
128.5731253,12,6
129.4752728,12,2
130.0563224,12,7
132.0044541,13,2
133.3276952,13,7
134.2875662,13,3
135.1080038,13,8
135.7536331,13,4
136.5001728,13,9
137.2076825,13,5
137.9885371,13,1
138.573793,13,6
141.0338034,14,8
141.640016,14,4
143.1100369,14,9
143.9061373,14,5
144.6652704,14,1
145.3844746,14,6
146.1428462,14,2
147.7043848,14,7
148.422008,14,3
151.3675665,15,9
153.8451445,15,5
155.1009149,15,1
156.0602119,15,6
156.8084554,15,2
157.5252401,15,7
158.3582951,15,3
159.1013054,15,8
160.329994,15,4
162.5194427,16,4
163.6013076,16,9
164.2265463,16,5
164.949725,16,1
165.8746683,16,6
167.9624957,16,2
168.6928717,16,7
169.411513,16,3
170.094605,16,8
172.1761297,17,6
172.9879855,17,2
173.639159,17,7
174.2773361,17,3
175.977703,17,8
176.7119727,17,4
178.4448832,17,9
179.0253127,17,5
179.7033765,17,1
180.0738397,17,1
180.8609526,17,1
181.0585329,17,1
181.2573473,17,1
181.4577723,17,1
181.6558811,17,1
