ElapsedTime,TaskNumber,TargetNumber
38.9897976,0,9
39.8882962,0,5
40.5535446,0,1
44.4364481,0,6
46.9831297,0,2
48.0040951,0,7
49.0152672,0,3
50.9911577,0,8
51.9348426,0,4
67.6297451,1,6
68.5328376,1,2
69.3503609,1,7
70.2354875,1,3
71.0803531,1,8
72.0105133,1,4
75.0628444,1,9
76.0219943,1,5
77.1282804,1,1
80.1691452,2,2
81.2191196,2,7
82.2228665,2,3
83.2620133,2,8
84.2712844,2,4
85.3290945,2,9
86.366597,2,5
92.5761367,2,1
93.7601021,2,6
97.7585895,3,2
98.8518992,3,6
99.8433046,3,1
100.8195248,3,5
105.6777796,3,9
106.8858765,3,4
107.9293946,3,8
109.0213249,3,3
109.9118705,3,7
112.7331161,4,6
113.6984005,4,1
114.6823265,4,5
119.5484169,4,9
120.6472877,4,4
121.6479352,4,8
122.6274047,4,3
123.5576194,4,7
124.44723,4,2
128.2423572,5,8
129.0905279,5,4
133.4896582,5,9
134.4455493,5,5
135.2285184,5,1
135.965549,5,6
136.7188082,5,2
137.4018565,5,7
141.8733069,5,3
144.69974,6,4
149.7919255,6,9
150.773429,6,5
152.6477581,6,1
153.5185698,6,6
154.4161445,6,2
155.3643857,6,7
156.211084,6,3
157.0507823,6,8
167.1640511,7,8
168.1597448,7,3
168.9552121,7,7
169.77235,7,2
170.5275199,7,6
171.3641412,7,1
172.1579836,7,5
175.3396063,7,9
176.3405674,7,4
180.2553457,8,3
182.2183031,8,8
183.1018871,8,4
184.7062141,8,9
185.7383078,8,5
187.5913576,8,1
188.5037126,8,6
190.6247167,8,2
191.4829289,8,7
193.8846565,9,5
197.053713,9,9
198.078138,9,4
199.8188689,9,8
200.7221049,9,3
201.5980755,9,7
203.4001206,9,2
204.2803937,9,6
205.1872318,9,1
208.1755503,10,4
209.0851778,10,8
209.9292609,10,3
211.6094085,10,7
213.1924914,10,2
214.041824,10,6
214.8810009,10,1
216.507232,10,5
217.3617814,10,9
223.6881515,11,3
224.6037226,11,7
225.4584962,11,2
226.2766387,11,6
227.1385646,11,1
227.9940014,11,5
228.8611382,11,9
229.6959174,11,4
230.5028453,11,8
242.4587709,12,9
243.3629373,12,4
244.2163266,12,8
245.8561958,12,3
246.6349602,12,7
247.6807155,12,2
248.4787503,12,6
250.1646201,12,1
251.8146788,12,5
255.4544614,13,7
256.1186793,13,3
256.8527159,13,8
257.5203956,13,4
258.1674114,13,9
258.8083002,13,5
259.4140561,13,1
259.9837609,13,6
260.5630723,13,2
264.3574947,14,7
265.046664,14,2
265.7282223,14,6
267.1421912,14,1
267.8499275,14,5
268.5244444,14,9
269.1650858,14,4
269.7905612,14,8
271.0256549,14,3
273.5554369,15,5
274.1095898,15,1
274.6815358,15,6
275.247585,15,2
275.8110287,15,7
276.3988616,15,3
277.5843004,15,8
278.1975792,15,4
278.8044689,15,9
281.7127783,16,1
282.2745966,16,6
282.7996963,16,2
283.3685181,16,7
283.8946891,16,3
286.7607654,16,8
287.5382718,16,4
288.1602188,16,9
288.8588534,16,5
292.1814617,17,1
293.5410858,17,5
295.7963794,17,9
296.6473076,17,4
297.3737574,17,8
298.0662823,17,3
298.7031424,17,7
299.3892767,17,2
300.0307952,17,6
