ElapsedTime,TaskNumber,TargetNumber
5.0938396,0,1
6.4396214,0,6
7.9019566,0,2
9.0986943,0,7
10.8214536,0,3
12.1795972,0,8
13.5257112,0,4
14.7905943,0,9
16.1368627,0,5
18.8676892,1,6
20.806681,1,1
22.0721657,1,5
23.3052495,1,9
24.4620818,1,4
25.9968413,1,8
27.1668915,1,3
28.4376355,1,7
29.8207742,1,2
32.0107688,2,7
33.35937,2,2
35.4532557,2,6
36.6698238,2,1
38.1424469,2,5
39.4328707,2,9
41.3430505,2,4
42.7122524,2,8
44.1740064,2,3
47.4064667,3,8
48.7947642,3,3
50.1973164,3,7
51.4806107,3,2
52.8674054,3,6
54.4208335,3,1
55.8877193,3,5
57.0774552,3,9
58.3418395,3,4
60.9390638,4,1
62.8824087,4,5
64.0243073,4,9
65.113725,4,4
67.0455403,4,8
68.1129994,4,3
69.349253,4,7
70.6507405,4,2
72.1501616,4,6
75.3688545,5,2
76.9002302,5,7
78.321252,5,3
80.4321008,5,8
81.9342646,5,4
83.2188241,5,9
84.8032055,5,5
86.4405017,5,1
87.7901967,5,6
91.5651535,6,2
93.0272782,6,6
94.3042744,6,1
95.369826,6,5
96.7484727,6,9
98.4310877,6,4
100.3738138,6,8
101.5726059,6,3
103.3519556,6,7
106.1618882,7,6
108.0322354,7,2
109.5866215,7,7
110.9074983,7,3
113.3928644,7,8
114.7195299,7,4
116.2178978,7,9
117.3163711,7,5
118.5009013,7,1
121.1468974,8,3
122.5693064,8,7
123.7738244,8,2
125.8634004,8,6
128.489114,8,1
129.8758648,8,5
131.1655349,8,9
132.2032852,8,4
133.3272986,8,8
135.6019215,9,4
137.6818207,9,8
138.9756062,9,3
140.0777879,9,7
141.2292639,9,2
142.6827848,9,6
143.961784,9,1
144.9799229,9,5
146.30307,9,9
148.3759368,10,7
149.4919647,10,3
150.5931776,10,8
151.6967635,10,4
153.0126251,10,9
154.4343138,10,5
155.6067653,10,1
157.3377073,10,6
158.7058689,10,2
161.5178754,11,9
162.7611679,11,5
164.4940027,11,1
165.6052503,11,6
166.5963057,11,2
167.7453547,11,7
168.8888033,11,3
170.6474953,11,8
171.7741387,11,4
176.116041,12,5
177.2188584,12,1
178.729486,12,6
179.8559024,12,2
181.100326,12,7
182.2493335,12,3
183.3868236,12,8
184.4406217,12,4
185.5656313,12,9
188.6239502,13,3
190.6060669,13,8
191.6118314,13,4
192.7936238,13,9
194.2420482,13,5
195.4110899,13,1
196.5941866,13,6
197.8199346,13,2
198.8267139,13,7
202.0301186,14,8
203.1624912,14,4
204.4048196,14,9
205.4944873,14,5
206.7790504,14,1
207.8666824,14,6
208.8434749,14,2
210.95849,14,7
211.9180967,14,3
214.8529627,15,5
216.1560104,15,9
217.240222,15,4
218.2192285,15,8
219.2321182,15,3
220.2218811,15,7
222.5911664,15,2
223.7418598,15,6
225.8925855,15,1
228.1375608,16,4
229.1472287,16,9
230.3035172,16,5
231.444826,16,1
232.5105115,16,6
233.4773677,16,2
234.4671275,16,7
235.4191979,16,3
236.5302404,16,8
240.641241,17,9
241.7303947,17,4
243.5377672,17,8
244.5764375,17,3
245.4972787,17,7
246.4651512,17,2
247.8743772,17,6
249.0173989,17,1
250.1587486,17,5
