name,radius,method,elapsedtime
kato,400,pointing,1.3472683111111106
onoda,400,pointing,1.3003120944444442
sakamoto,400,pointing,0.9404054541666665
sobue,400,pointing,1.539089227777778
kato,400,touching,0.8156294083333334
onoda,400,touching,0.7217510263888891
sakamoto,400,touching,1.2129958569444443
sobue,400,touching,0.7530135291666669
kato,800,pointing,1.394671644444445
onoda,800,pointing,1.2469095277777775
sakamoto,800,pointing,1.4711080013888893
sobue,800,pointing,1.462367881944445
kato,800,touching,0.7443263208333334
onoda,800,touching,0.9538974972222213
sakamoto,800,touching,1.029407213888889
sobue,800,touching,1.0992870986111123
