name,radius,method,elapsedtime
akiba,400,pointing,1.2740162999999993
kato,400,pointing,1.3472683111111106
kominato,400,pointing,1.1034676541666675
kon,400,pointing,1.728123426388889
nakamura,400,pointing,0.8810814444444441
onoda,400,pointing,1.3003120944444442
sakamoto,400,pointing,0.9404054541666665
sano,400,pointing,1.0196236111111114
sobue,400,pointing,1.539089227777778
akiba,400,touching,0.6903703152777775
kato,400,touching,0.8156294083333334
kominato,400,touching,0.5807360750000002
kon,400,touching,0.6557888194444446
nakamura,400,touching,0.8137405013888888
onoda,400,touching,0.7217510263888891
sakamoto,400,touching,1.2129958569444443
sano,400,touching,0.6553947763888883
sobue,400,touching,0.7530135291666669
akiba,800,pointing,1.443432018055555
kato,800,pointing,1.394671644444445
kominato,800,pointing,1.463667645833333
kon,800,pointing,1.6777496958333336
nakamura,800,pointing,1.2270126777777794
onoda,800,pointing,1.2469095277777775
sakamoto,800,pointing,1.4711080013888893
sano,800,pointing,1.383016856944443
sobue,800,pointing,1.462367881944445
akiba,800,touching,0.7725302027777775
kato,800,touching,0.7443263208333334
kominato,800,touching,0.8008233152777776
kon,800,touching,0.9498247083333331
nakamura,800,touching,0.7494804208333332
onoda,800,touching,0.9538974972222213
sakamoto,800,touching,1.029407213888889
sano,800,touching,0.6731858861111113
sobue,800,touching,1.0992870986111123
