ElapsedTime,TaskNumber,TargetNumber
16.95553,0,2
19.5029914,0,7
22.4406503,0,3
23.7437381,0,8
25.0837563,0,4
26.3346398,0,9
27.4445494,0,5
28.6504925,0,1
29.7049346,0,6
40.4278822,1,1
41.6697262,1,6
42.7776339,1,2
43.832506,1,7
44.9270881,1,3
46.0101116,1,8
46.9498808,1,4
48.0195617,1,9
49.0836501,1,5
52.4696117,2,7
53.6159658,2,3
54.7831806,2,8
55.8018223,2,4
56.9445945,2,9
57.9494805,2,5
59.0619269,2,1
60.1358245,2,6
61.2207373,2,2
64.0494783,3,9
65.0826802,3,4
66.1602135,3,8
67.1748189,3,3
69.2187005,3,7
73.5590908,3,2
75.5958485,3,6
76.8725562,3,1
78.0215059,3,5
81.2713408,4,3
83.2112472,4,7
86.5724768,4,2
87.845145,4,6
89.0614469,4,1
90.2024491,4,5
91.4093974,4,9
92.5548089,4,4
93.781791,4,8
96.2420817,5,2
98.1971356,5,6
99.5036065,5,1
100.6843289,5,5
101.8298564,5,9
102.8628938,5,4
103.9972769,5,8
105.0863825,5,3
106.2014828,5,7
109.7930412,6,8
110.8920356,6,3
112.8341758,6,7
114.0565336,6,2
115.0426339,6,6
116.1272637,6,1
119.1172883,6,5
120.1460447,6,9
121.1372788,6,4
124.2429687,7,5
125.3490583,7,9
126.3982482,7,4
127.3861843,7,8
128.3626093,7,3
129.3282985,7,7
130.42116,7,2
131.3780361,7,6
132.4203717,7,1
135.1013315,8,4
136.1511525,8,8
137.1578844,8,3
138.1697158,8,7
139.1872324,8,2
140.1385008,8,6
141.1676559,8,1
144.9604003,8,5
145.9133654,8,9
148.4329674,9,6
149.4684226,9,1
150.3867027,9,5
151.484383,9,9
154.9434802,9,4
155.9353022,9,8
156.902647,9,3
157.8032683,9,7
162.2248884,9,2
164.6298912,10,3
165.5995424,10,8
166.5893157,10,4
167.6736351,10,9
168.7270766,10,5
169.7917815,10,1
170.7938511,10,6
171.7890633,10,2
172.6291975,10,7
174.8623609,11,5
175.8379367,11,1
177.3817653,11,6
178.4074809,11,2
179.2880518,11,7
180.2711824,11,3
181.1968492,11,8
182.1123829,11,4
183.0745237,11,9
185.969742,12,4
186.9700913,12,9
187.9290627,12,5
188.875343,12,1
189.7915335,12,6
190.8066608,12,2
191.7143975,12,7
192.725385,12,3
193.6825329,12,8
196.0747984,13,1
197.0020226,13,5
198.0089098,13,9
198.9586103,13,4
199.9042159,13,8
200.9306533,13,3
201.9304254,13,7
203.0116186,13,2
204.6179809,13,6
207.8797346,14,9
208.8529665,14,5
209.8535027,14,1
212.260361,14,6
213.2337023,14,2
214.2015241,14,7
216.497563,14,3
217.4773722,14,8
219.853905,14,4
222.8079053,15,8
223.8058191,15,4
224.8557829,15,9
225.8274206,15,5
226.8745087,15,1
227.7812401,15,6
228.8222075,15,2
229.8015197,15,7
230.8416284,15,3
234.84031,16,7
235.8953693,16,2
239.3603673,16,6
240.3824458,16,1
241.2953569,16,5
242.3824081,16,9
243.4567431,16,4
244.5106064,16,8
246.6950877,16,3
249.8796939,17,6
251.0730089,17,2
252.087923,17,7
253.1876664,17,3
254.2048111,17,8
255.184299,17,4
256.2027073,17,9
257.1778181,17,5
259.0933609,17,1
