ElapsedTime,TaskNumber,TargetNumber
9.673871,0,8
10.7497192,0,4
12.8020495,0,9
13.7295363,0,5
14.6199848,0,1
15.5018562,0,6
16.4931637,0,2
17.5148376,0,7
18.4679296,0,3
21.3461052,1,1
22.9292959,1,6
23.8859676,1,2
24.925159,1,7
26.6541403,1,3
27.8900219,1,8
28.8428871,1,4
29.7118322,1,9
30.463861,1,5
35.7207,2,5
36.626552,2,9
37.3960107,2,4
38.3299615,2,8
39.1151177,2,3
40.1905686,2,7
41.5410334,2,2
42.9378517,2,6
43.8950056,2,1
45.8643051,3,7
46.9397217,3,3
47.955582,3,8
48.8253202,3,4
50.5403624,3,9
51.3802913,3,5
52.8204047,3,1
53.68287,3,6
54.4880551,3,2
56.7129102,4,4
57.5950167,4,9
58.5318707,4,5
59.4369614,4,1
60.249554,4,6
61.0409062,4,2
62.0247994,4,7
62.9961817,4,3
63.9639462,4,8
66.2728125,5,7
67.2010078,5,2
68.1758947,5,6
68.9425548,5,1
69.8968539,5,5
70.7953146,5,9
71.6460767,5,4
72.5864353,5,8
73.8422418,5,3
79.5857599,6,3
80.4404819,6,7
81.3114594,6,2
82.1540495,6,6
82.9786236,6,1
84.3850975,6,5
85.2690218,6,9
86.2363067,6,4
86.9747767,6,8
89.8098677,7,5
91.4694616,7,1
92.2398818,7,6
92.9809734,7,2
93.8667023,7,7
94.8352132,7,3
95.638137,7,8
96.363612,7,4
97.0697347,7,9
98.9451604,8,1
100.156249,8,5
101.4804386,8,9
102.230777,8,4
103.1652559,8,8
104.153577,8,3
105.0049068,8,7
105.8363953,8,2
106.7518956,8,6
111.5292251,9,6
112.3563625,9,2
113.3727076,9,7
114.2607899,9,3
114.9630364,9,8
115.7407844,9,4
116.5329268,9,9
117.2484311,9,5
118.0119464,9,1
120.9151034,10,2
122.2113808,10,6
123.1902188,10,1
123.9382543,10,5
126.0752245,10,9
126.9472628,10,4
127.7939604,10,8
128.6127605,10,3
129.3592509,10,7
131.9771449,11,8
132.918443,11,3
133.7683533,11,7
134.4336199,11,2
135.2442834,11,6
136.0056567,11,1
136.7428093,11,5
137.6598128,11,9
138.3717332,11,4
142.7740352,12,6
144.3216724,12,1
145.0204888,12,5
145.798382,12,9
147.6853389,12,4
148.5423486,12,8
149.3558652,12,3
150.2324056,12,7
151.0196936,12,2
155.619577,13,9
156.5361624,13,5
157.9085411,13,1
158.8034953,13,6
159.7447944,13,2
160.6616316,13,7
161.4009649,13,3
162.3461297,13,8
163.0227027,13,4
166.4435835,14,2
167.1632755,14,7
168.2133125,14,3
169.1229493,14,8
169.792298,14,4
170.5219651,14,9
172.1648884,14,5
172.9748838,14,1
173.8444956,14,6
177.1462112,15,4
177.9976516,15,8
179.0362596,15,3
179.8244043,15,7
181.860216,15,2
182.5834162,15,6
183.489992,15,1
184.1121056,15,5
184.994011,15,9
190.7525667,16,9
191.6400398,16,4
192.6732849,16,8
194.6637829,16,3
195.5834564,16,7
196.4202214,16,2
197.249214,16,6
197.9861558,16,1
199.4792182,16,5
202.8142214,17,3
203.7551397,17,8
204.77528,17,4
205.7850436,17,9
206.5687808,17,5
207.3135315,17,1
208.1140619,17,6
208.8459627,17,2
209.5778095,17,7
