ElapsedTime,TaskNumber,TargetNumber
4.4301175,0,9
5.591658,0,5
7.7937565,0,1
8.9544425,0,6
11.2131523,0,2
12.3924316,0,7
13.6744674,0,3
14.8594767,0,8
16.1086638,0,4
18.8744032,1,5
22.5392275,1,9
23.7281665,1,4
25.0583589,1,8
26.3761468,1,3
28.7671565,1,7
34.9813997,1,2
36.2458105,1,6
37.4257864,1,1
40.2338025,2,8
42.9852532,2,4
44.3772543,2,9
45.7398986,2,5
50.0496592,2,1
51.2273427,2,6
52.4498731,2,2
53.629498,2,7
63.3559999,2,3
69.2926139,3,2
70.6536009,3,7
75.1989838,3,3
76.4845851,3,8
80.3745093,3,4
83.2082157,3,9
84.5044714,3,5
85.6995065,3,1
86.8020011,3,6
89.7002234,4,3
90.7314816,4,8
91.7924579,4,4
95.3861164,4,9
96.5668071,4,5
102.8774975,4,1
105.2227947,4,6
106.4907627,4,2
107.5761641,4,7
111.0912352,5,6
112.1773194,5,1
113.3486904,5,5
114.3382956,5,9
115.3388365,5,4
116.3046479,5,8
118.5714424,5,3
119.6394564,5,7
120.6503292,5,2
126.9260963,6,1
128.0241346,6,6
134.8562719,6,2
136.0256028,6,7
139.5044183,6,3
143.230287,6,8
144.5111955,6,4
148.4297902,6,9
149.6163759,6,5
152.8291818,7,4
153.8773626,7,9
154.9702746,7,5
155.9897042,7,1
157.0183944,7,6
164.9939124,7,2
166.0713958,7,7
167.1240657,7,3
169.403751,7,8
178.8260733,8,8
181.3114473,8,3
182.6032923,8,7
189.0403363,8,2
190.0802222,8,6
191.9801681,8,1
193.1683224,8,5
196.5279233,8,9
197.8585544,8,4
205.4031891,9,6
206.6100917,9,2
210.3017054,9,7
211.5757115,9,3
214.018752,9,8
215.2878997,9,4
216.5261648,9,9
217.6955152,9,5
219.0422006,9,1
222.6083756,10,3
223.731579,10,7
224.8371963,10,2
225.8419513,10,6
228.1715384,10,1
229.1687619,10,5
231.1661853,10,9
232.3104903,10,4
233.4534916,10,8
236.1662825,11,1
237.2036852,11,5
239.1297069,11,9
240.1294991,11,4
241.1346317,11,8
242.0816163,11,3
243.0444676,11,7
243.9229048,11,2
244.7783985,11,6
247.6100887,12,7
248.4616905,12,3
249.3122791,12,8
250.1140899,12,4
251.7720136,12,9
252.6715002,12,5
253.5559584,12,1
254.3092779,12,6
255.1092716,12,2
259.0781896,13,9
260.0715232,13,4
261.0618286,13,8
261.9923349,13,3
262.8214416,13,7
263.6380346,13,2
264.4027348,13,6
265.9379232,13,1
266.7215287,13,5
272.8186199,14,5
273.8152993,14,1
275.5974662,14,6
278.1126692,14,2
279.079984,14,7
279.9331885,14,3
280.7183189,14,8
281.523507,14,4
282.2299362,14,9
285.2827059,15,7
286.0488956,15,2
286.8197311,15,6
287.6415196,15,1
288.4276082,15,5
289.2116105,15,9
289.9873729,15,4
290.8126065,15,8
291.5769512,15,3
294.7129631,16,4
295.5086691,16,8
296.2684571,16,3
297.0315738,16,7
298.5388965,16,2
299.3612161,16,6
300.2383645,16,1
301.0042764,16,5
301.7434878,16,9
304.4086912,17,2
305.1626944,17,6
305.904372,17,1
306.8466756,17,5
308.4637683,17,9
310.1410406,17,4
311.0047007,17,8
311.7930968,17,3
312.5825105,17,7
