ElapsedTime,TaskNumber,TargetNumber
4.8744686,0,2
6.2184443,0,6
9.0538156,0,1
10.273321,0,5
11.9825716,0,9
13.7125979,0,4
15.1885153,0,8
16.3813558,0,3
17.8322181,0,7
20.6971795,1,3
21.8825634,1,7
22.9190063,1,2
24.5181046,1,6
25.5933369,1,1
27.0663085,1,5
28.1959022,1,9
29.714488,1,4
31.12653,1,8
33.780126,2,6
34.9169305,2,2
36.4635184,2,7
37.5566875,2,3
38.9961707,2,8
40.2980295,2,4
41.6568375,2,9
43.0944959,2,5
45.4274733,2,1
47.6229133,3,5
50.484317,3,9
51.750496,3,4
53.5368007,3,8
54.8636744,3,3
56.2211642,3,7
58.7061249,3,2
60.0323036,3,6
61.3141581,3,1
63.5233613,4,7
66.5262317,4,3
67.7638072,4,8
69.15053,4,4
70.5133161,4,9
71.92669,4,5
73.8643114,4,1
75.2131508,4,6
76.5522774,4,2
80.3933407,5,4
82.022752,5,9
84.2172882,5,5
86.4594874,5,1
87.6601961,5,6
88.7373368,5,2
90.1629782,5,7
91.5696715,5,3
92.7773737,5,8
95.5193196,6,9
97.0010055,6,5
101.0484116,6,1
102.5435435,6,6
105.9364996,6,2
107.3675713,6,7
109.3217488,6,3
111.7130318,6,8
112.9874844,6,4
115.7145824,7,8
117.3443003,7,3
119.1953116,7,7
121.3245998,7,2
122.7163311,7,6
123.9620505,7,1
126.6617957,7,5
128.0506522,7,9
129.8997995,7,4
132.0584997,8,3
133.3826687,8,8
134.9249434,8,4
137.6529158,8,9
138.9550437,8,5
141.2134765,8,1
142.54422,8,6
144.0949459,8,2
145.5208926,8,7
147.7984737,9,8
149.7082415,9,4
150.9207388,9,9
152.3843391,9,5
154.5918684,9,1
155.9191805,9,6
159.4160546,9,2
161.0663641,9,7
163.6434648,9,3
166.2040251,10,6
167.9972783,10,1
169.2345405,10,5
170.4690738,10,9
171.9453057,10,4
174.3129196,10,8
175.714861,10,3
177.4382355,10,7
178.8660941,10,2
181.8051016,11,4
182.9761927,11,8
184.2085241,11,3
185.7821122,11,7
186.9875677,11,2
188.5308791,11,6
189.70734,11,1
191.0776586,11,5
192.5618233,11,9
197.7820133,12,2
199.6216846,12,7
200.9069535,12,3
202.4217331,12,8
203.5889723,12,4
205.1225508,12,9
206.399646,12,5
208.36486,12,1
209.5333343,12,6
211.8822219,13,7
213.8117551,13,2
215.2038919,13,6
216.4352174,13,1
217.5642579,13,5
218.7087584,13,9
220.1285393,13,4
221.3332539,13,8
222.8643747,13,3
226.8659331,14,1
228.3447642,14,6
230.1753463,14,2
231.701566,14,7
233.18875,14,3
234.3136654,14,8
235.5119562,14,4
236.6623918,14,9
237.7845434,14,5
244.2848492,15,5
245.5731157,15,1
246.9556264,15,6
248.0524985,15,2
249.4249126,15,7
250.9353816,15,3
252.2673724,15,8
253.4527945,15,4
254.7308071,15,9
260.7116006,16,9
261.8139031,16,4
264.0410997,16,8
265.2142179,16,3
266.4905013,16,7
267.7085398,16,2
269.774505,16,6
270.9408423,16,1
272.0787353,16,5
274.4645356,17,1
275.571954,17,5
276.7586343,17,9
277.8034398,17,4
279.5107427,17,8
280.5760195,17,3
281.8225516,17,7
283.8545378,17,2
285.0260646,17,6
