ElapsedTime,TaskNumber,TargetNumber
4.1203609,0,8
5.4948393,0,3
6.7520012,0,7
8.0481482,0,2
9.3804248,0,6
10.8511386,0,1
12.2135013,0,5
14.2716435,0,9
15.5487772,0,4
19.6698969,1,8
21.1958276,1,4
22.5598039,1,9
24.1891056,1,5
25.6299539,1,1
26.8642921,1,6
28.0221067,1,2
29.5397172,1,7
31.0622565,1,3
33.8879488,2,7
35.672966,2,2
36.8928178,2,6
38.2194688,2,1
40.1869462,2,5
41.5813797,2,9
42.9148167,2,4
44.377411,2,8
45.611113,2,3
48.5767307,3,1
49.6733492,3,6
50.8493651,3,2
52.017033,3,7
53.735732,3,3
55.6099775,3,8
57.3144829,3,4
58.412052,3,9
59.6248322,3,5
