ElapsedTime,TaskNumber,TargetNumber
3.4988973,0,6
4.6332478,0,2
12.6480542,0,7
13.8590224,0,3
20.8789205,0,8
22.0801826,0,4
23.1383079,0,9
25.8488531,0,5
27.1407043,0,1
31.3856239,1,3
36.5378968,1,8
37.8054386,1,4
38.9300433,1,9
53.5815349,1,5
54.7922686,1,1
61.8460855,1,6
62.8934189,1,2
67.792639,1,7
77.0589868,2,9
78.1213641,2,5
79.1737083,2,1
80.1558172,2,6
81.2235612,2,2
83.2433828,2,7
84.3866212,2,3
85.4306846,2,8
86.5059944,2,4
93.5656781,3,4
94.6349992,3,9
100.8330593,3,5
102.010421,3,1
104.9277619,3,6
106.0167595,3,2
111.1931543,3,7
112.3159345,3,3
113.3948852,3,8
