ElapsedTime,TaskNumber,TargetNumber
2.6039512,0,2
3.677196,0,7
4.7350903,0,3
5.7973319,0,8
6.8214603,0,4
7.9209629,0,9
9.0365957,0,5
9.979611,0,1
10.9732877,0,6
18.8356923,1,4
19.8689833,1,9
21.0148428,1,5
22.1690149,1,1
28.5995353,1,6
29.8996921,1,2
32.2465715,1,7
33.5642034,1,3
35.8544974,1,8
39.6511189,2,3
40.7113249,2,7
41.7886694,2,2
42.9248171,2,6
44.0782005,2,1
45.1593467,2,5
46.3404508,2,9
47.442396,2,4
48.5743128,2,8
84.027035,3,3
84.7008763,3,7
85.4383586,3,2
86.1417782,3,6
86.9307797,3,1
88.3208926,3,5
89.0776487,3,9
89.8552912,3,4
91.2011,3,8
