ElapsedTime,TaskNumber,TargetNumber
6.2609146,0,5
8.9546741,0,9
10.6092019,0,4
11.7936942,0,8
13.3415429,0,3
14.4571975,0,7
15.7771279,0,2
17.2385914,0,6
19.253594,0,1
22.4876389,1,6
24.2277563,1,2
25.3510494,1,7
26.9550388,1,3
28.3179326,1,8
29.9823374,1,4
31.4315116,1,9
32.7054979,1,5
34.8792798,1,1
38.0301191,2,2
39.4492536,2,7
40.6931134,2,3
41.8663513,2,8
42.915784,2,4
44.5067492,2,9
45.731843,2,5
46.7601239,2,1
50.0417171,2,6
54.6123486,3,1
56.2761412,3,6
57.5517373,3,2
59.2026218,3,7
60.3278248,3,3
61.4234924,3,8
62.7231808,3,4
63.9679893,3,9
65.0694917,3,5
