ElapsedTime,TaskNumber,TargetNumber
12.1566797,0,3
13.2532432,0,7
14.2722608,0,2
15.3425504,0,6
16.4915709,0,1
17.3112658,0,5
18.2951039,0,9
20.472537,0,4
21.7913402,0,8
32.9473978,1,2
34.3296892,1,6
36.3136032,1,1
37.3270314,1,5
38.400539,1,9
39.3452021,1,4
40.6206122,1,8
42.0342499,1,3
43.8243003,1,7
49.4056278,2,2
50.6217718,2,6
51.5926996,2,1
52.8505346,2,5
54.7071127,2,9
55.4684183,2,4
56.4092979,2,8
57.4703856,2,3
58.3143948,2,7
72.2054179,3,9
73.1164395,3,5
74.0712589,3,1
75.110571,3,6
76.0383301,3,2
76.9572107,3,7
77.7728926,3,3
78.7703293,3,8
79.5326242,3,4
