ElapsedTime,TaskNumber,TargetNumber
6.5753621,0,2
7.4803754,0,7
8.3389642,0,3
9.8101237,0,8
10.6311246,0,4
14.2295692,0,9
15.2352775,0,5
16.6565848,0,1
18.1379885,0,6
24.4564807,1,9
25.5659265,1,5
26.3986542,1,1
27.0894253,1,6
27.8711753,1,2
30.7907917,1,7
32.6644555,1,3
33.5673425,1,8
34.3447192,1,4
39.7903547,2,6
40.9756384,2,2
46.0424925,2,7
47.0957516,2,3
48.1450005,2,8
49.0285241,2,4
49.9576268,2,9
51.1876194,2,5
52.060131,2,1
56.4548855,3,9
57.9098781,3,4
58.5958355,3,8
60.4121616,3,3
63.1237536,3,7
64.0118147,3,2
64.7849699,3,6
65.5478064,3,1
66.2154799,3,5
72.6901061,4,4
73.6124436,4,9
74.5881387,4,5
75.5678583,4,1
76.4233294,4,6
77.2472909,4,2
79.7025413,4,7
80.5048167,4,3
83.0898611,4,8
