ElapsedTime,TaskNumber,TargetNumber
3.1200628,0,4
4.3521965,0,8
5.3508625,0,3
6.360979,0,7
7.9341219,0,2
8.865218,0,6
10.3415915,0,1
11.3530564,0,5
12.3233084,0,9
19.9000415,1,8
20.977887,1,3
21.9603611,1,7
22.9513924,1,2
23.9559739,1,6
25.1173844,1,1
26.2663312,1,5
27.2706249,1,9
28.4410518,1,4
33.7623423,2,5
34.9332703,2,9
36.1133639,2,4
37.2288241,2,8
38.2312461,2,3
39.219068,2,7
41.1622595,2,2
42.2032272,2,6
43.2140204,2,1
51.5284187,3,1
52.3858249,3,5
53.8783065,3,9
54.9951625,3,4
56.0163733,3,8
56.9540663,3,3
57.8254957,3,7
58.8449934,3,2
60.1227745,3,6
66.9625003,4,8
68.1831559,4,3
69.3249085,4,7
70.322464,4,2
71.2347479,4,6
72.1495504,4,1
73.132537,4,5
74.171042,4,9
75.11731,4,4
