ElapsedTime,TaskNumber,TargetNumber
26.9210055,0,1
27.7881135,0,6
28.6744586,0,2
29.6512474,0,7
30.6059933,0,3
31.6636845,0,8
33.5223039,0,4
35.2465736,0,9
36.2577378,0,5
41.2516124,1,4
43.4569231,1,9
44.4582638,1,5
45.4257242,1,1
46.4237495,1,6
47.353629,1,2
50.1529339,1,7
52.0049292,1,3
53.0829669,1,8
57.4838142,2,9
58.4505394,2,4
59.474998,2,8
60.4595311,2,3
61.4962442,2,7
62.5543105,2,2
63.5842369,2,6
64.6448107,2,1
65.611386,2,5
81.612771,3,6
82.7197247,3,1
84.291235,3,5
86.2359071,3,9
87.1710763,3,4
88.1719955,3,8
89.2357647,3,3
90.2341851,3,7
91.3228855,3,2
117.3174729,4,1
118.865074,4,6
119.9730507,4,2
124.5058601,4,7
125.508966,4,3
126.4631227,4,8
127.4454767,4,4
135.6018873,4,9
136.7198051,4,5
147.7298468,5,1
148.6689776,5,5
150.4045726,5,9
151.368735,5,4
152.3265246,5,8
153.2739799,5,3
154.2097202,5,7
155.1750007,5,2
156.1997612,5,6
